Healthcare Provider,Doses Administered,Doses Received,Date
Access Healthcare Multi-Specialty Group,361,600,2021-02-24
Alexandria Health Dept- King Street Center,17204,17315,2021-02-24
ALGHD-COVINGTON HEALTH DEPARTMENT,2431,1800,2021-02-24
Arlington County Public Health - DHS/CHS,18925,20125,2021-02-24
Augusta Correctional Center,1800,1600,2021-02-24
Augusta Health,16553,16715,2021-02-24
Augusta Health- Occupational Health,3391,3390,2021-02-24
Ballad Health JOHNSTON MEMORIAL HOSPITAL,10232,11625,2021-02-24
Ballad Health Norton Community Hospital,5148,5345,2021-02-24
Ballad Health-BRMC OP COV POD,1843,0,2021-02-24
Bath County Community Hospital,737,900,2021-02-24
Bay Internists,1082,900,2021-02-24
Bayview Volvo Medical Associates,4919,5550,2021-02-24
BH - Wellmont Ballad Health Tennessee,965,0,2021-02-24
BH - Wellmont Bristol Regional Medical Center TN,1333,0,2021-02-24
Blacksburg Pharmacy,1176,1375,2021-02-24
Bon Secours - Southampton Memorial Hospital,488,1300,2021-02-24
Bon Secours - Southside Medical Center,2572,3270,2021-02-24
Bon Secours DePaul Medical Center,1670,1753,2021-02-24
Bon Secours Mary Immaculate Hospital,2668,3620,2021-02-24
Bon Secours Maryview Washington - Occupational Health,2561,5427,2021-02-24
Bon Secours Memorial Regional Medical Center,4191,2630,2021-02-24
Bon Secours Rappahannock General Hospital-Kilmarnock,1187,290,2021-02-24
Bon Secours Richmond Community Hospital,318,700,2021-02-24
Bon Secours St. Francis Medical Center,3737,2660,2021-02-24
Bon Secours St. Mary's Hospital,11380,15916,2021-02-24
Bremo Pharmacy,4997,5900,2021-02-24
BRHD-CH/AL HEALTH DISTRICT,9569,12775,2021-02-24
BRHD-LOUISA COUNTY HD,504,0,2021-02-24
Buchanan General Hospital,742,1000,2021-02-24
Buford Road Pharmacy,1879,1600,2021-02-24
CareTeam Corporate Health- Danville,637,700,2021-02-24
Carilion Clinic Ortho Gen ION,547,0,2021-02-24
Carilion Franklin Memorial Hospital,2590,1540,2021-02-24
Carilion Giles Community Hospital,2398,2200,2021-02-24
Carilion New River Medical Center,4632,4400,2021-02-24
Carilion Roanoke Memorial Hospital,37799,40620,2021-02-24
Carilion Rockbridge Community Hospital.,1975,6450,2021-02-24
Carilion Tazewell Community Hospital,2262,1390,2021-02-24
Cedarfield Pharmacy,2853,3200,2021-02-24
CENTRA - BEDFORD MEMORIAL HOSPITAL,767,900,2021-02-24
Centra - Lynchburg General Hospital,14090,13420,2021-02-24
Centra - Southside Community Hospital,1541,2200,2021-02-24
Centra Health Pearson Cancer Center,529,975,2021-02-24
Centra Medical Group - ALTAVISTA MEDICAL CENTER,495,625,2021-02-24
Centra Medical Group - Amherst Family Physicians,517,625,2021-02-24
Centra Medical Group - Bedford,403,535,2021-02-24
Centra Medical Group - Brookneal Family Medical Center,390,535,2021-02-24
Centra Medical Group - Southside Pediatrics Center,1022,1750,2021-02-24
Central Virginia Correctional Unit #13,770,900,2021-02-24
Chesapeake Internists,616,600,2021-02-24
Chesapeake Regional Medical Center - Occupational Health,8499,12635,2021-02-24
Chesterfield County Employee Medical Center,5563,5998,2021-02-24
CHFHD-CHESTERFIELDCOUNTYHD,7542,12860,2021-02-24
Children's Hospital of The King's Daughters,6183,10480,2021-02-24
Clinch Valley Medical Center,2281,3100,2021-02-24
CN Internal Medicine,769,700,2021-02-24
Commonshare Nonprofit Pharmacy,648,800,2021-02-24
Community Healthcare Center of the NRV- Christiansburg,1214,1590,2021-02-24
Cornerstone Private Practice,622,500,2021-02-24
CPHD-BUCHANANCO-GRUNDY,1334,1480,2021-02-24
CPHD-DICKENSONCOHE-CLINIC,773,1000,2021-02-24
CPHD-RUSSELLCOHD-LEBANON,5783,5180,2021-02-24
CPHD-TAZEWELLCO-TAZ,2115,2010,2021-02-24
Crewe Medical Center,737,1200,2021-02-24
CRHD-PETERSBURGCITYHD,6258,11150,2021-02-24
CSHD-AUGUSTA_STAUNTONHD,16367,16800,2021-02-24
CSPHD-CHESAPEAKECITYHD,9299,8600,2021-02-24
CVFP - Forest Family Physicians,552,588,2021-02-24
CVFP - Walk In Care-Forest,1190,1085,2021-02-24
CVFP- Internal Medicine,687,294,2021-02-24
CVHD-LYNCHBURGCITYHD,2611,4039,2021-02-24
