Healthcare Provider,Doses Administered,Doses Received
Access Healthcare Multi-Specialty Group,333,600
Alexandria Health Dept- King Street Center,13916,17710
ALGHD-COVINGTON HEALTH DEPARTMENT,1437,1400
ALGHD-ROANOKECO/VINTON HEALTH DEPARTMENT,672,0
Arlington County Public Health - DHS/CHS,14325,18175
Augusta Correctional Center,1762,1600
Augusta Health,12026,14694
Augusta Health- Occupational Health,3390,3390
Ballad Health JOHNSTON MEMORIAL HOSPITAL,8644,11625
Ballad Health Norton Community Hospital,4380,5345
Ballad Health-BRMC OP COV POD,1843,0
Bath County Community Hospital,678,900
Bay Internists,0,900
"Bay Internists, Inc.",732,0
Bayview Physicians -Parent,985,0
Bayview Volvo Medical Associates,3564,4750
BH - Wellmont Ballad Health Tennessee,952,0
BH - Wellmont Bristol Regional Medical Center TN,1333,0
Blacksburg Pharmacy,849,1675
Bon Secours - Southampton Memorial Hospital,442,1300
Bon Secours - Southside Medical Center,2343,2990
Bon Secours DePaul Medical Center,1494,2129
Bon Secours Mary Immaculate Hospital,2202,3370
Bon Secours Maryview Washington - Occupational Health,2059,3951
Bon Secours Memorial Regional Medical Center,3917,2910
Bon Secours Rappahannock General Hospital-Kilmarnock,1049,150
Bon Secours Richmond Community Hospital,318,700
Bon Secours St. Francis Medical Center,3587,2660
Bon Secours St. Mary's Hospital,10273,16056
Bremo Pharmacy,4101,5900
BRHD-CH/AL HEALTH DISTRICT,9040,14350
Buchanan General Hospital,689,1000
Buford Road Pharmacy,1737,1600
CareTeam Corporate Health- Danville,637,700
Carilion Franklin Memorial Hospital,2015,2280
Carilion Giles Community Hospital,1810,2200
Carilion New River Medical Center,3754,5000
Carilion Roanoke Memorial Hospital,31739,20605
Carilion Rockbridge Community Hospital.,1922,23150
Carilion Tazewell Community Hospital,1856,1390
Cedarfield Pharmacy,1901,3200
CENTRA - BEDFORD MEMORIAL HOSPITAL,654,900
Centra - Lynchburg General Hospital,13580,14470
Centra - Southside Community Hospital,1431,2200
Centra Health Pearson Cancer Center,181,1025
Centra Medical Group - Southside Pediatrics Center,815,1250
Central Virginia Correctional Unit #13,709,900
Chesapeake Internists,0,600
"Chesapeake Internists, Ltd.",614,0
Chesapeake Regional Medical Center - Occupational Health,6608,11200
Chesterfield County Employee Medical Center,5325,6070
CHFHD-CHESTERFIELDCOUNTYHD,6146,7735
Children's Hospital of The King's Daughters,5753,10580
Clinch Valley Medical Center,2008,3100
CN Internal Medicine,600,600
Commonshare Nonprofit Pharmacy,385,800
Community Healthcare Center of the NRV- Christiansburg,957,1390
Cornerstone Private Practice,462,500
CPHD-BUCHANANCO-GRUNDY,1078,1250
CPHD-DICKENSONCOHE-CLINIC,620,800
CPHD-RUSSELLCOHD-LEBANON,4831,5410
CPHD-TAZEWELLCO-TAZ,1819,1980
Crewe Medical Center,656,1200
CRHD-PETERSBURGCITYHD,4901,10450
CSHD-AUGUSTA_STAUNTONHD,13528,16891
CSHD-STAUNTON-AUGUSTAHD,1261,0
CSHD-WAYNESBORO/AUGUSTAHD,525,100
CSPHD-CHESAPEAKECITYHD,8521,9400
CVFP - Forest Family Physicians,402,918
CVFP - Walk In Care-Forest,638,840
CVFP- Internal Medicine,660,304
CVHD-LYNCHBURGCITYHD,2008,2839
CVHS - Buckingham,347,800
CVS and Walgreens (includes LTCF & community administrations),166829,178425
DAILY PLANET HEALTH CARE FOR THE HOMELESS CLINIC,1700,1600
Davidson's Pharmacy,0,650
Deerfield Correctional Center,1509,1500
ELKTON FAMILY PHARMACY,151,600
Emergency Services Solutions Inc.,946,1090
EMS - Chesterfield Fire and EMS,2774,3185
ESHD-ACCOMACKCOHD,1896,3025
ESRH - Atlantic Community Health Center,714,350
ESRH - Chincoteague Island Community Health,537,250
ESRH - Eastville Community Health Center,807,450
ESRH - Onley Community Health Center,771,2640
EVMS Health Services - Occupational Health,1455,1950
Fairfax County HD-Joseph Willard Health Center,75303,80351
Fairfax County Public Safety Occupational Health Center,3768,4830
Fauquier Hospital,3561,5475
FFPC - Fairfax Family Practice,662,0
Fluvanna Correctional Center for Women,2065,2300
Food City Pharmacy #820,285,1400
Food City Pharmacy #823,208,600
Food City Pharmacy #858,441,800
Food City Pharmacy #859,464,850
Food City Pharmacy #890,276,1500
Fort Norfolk Plaza Urgent Care & Primary Care,529,800
FPN - Piedmont Family Practice,717,1250
FREDERICKSBURG CITY HD,7586,12140
Gainesville Pharmacy,631,650
George Mason University MAP Clinic- Manassas,1639,3200
Glade Pharmacy,1086,1075
Greater Prince William Community Health Center,811,1040
Green Rock Correctional Center,1348,2000
Greensville Correctional Center,1893,1700
Gretna Drug Company,955,900
Guadalupe Free Clinic,448,520
Halifax Pharmacy,388,800
Haynesville Correctional Center,750,1000
HCA - CJW Medical Center - Chippenham Campus,9544,8995
HCA - Henrico Doctor's Hospital,6689,6615
HCA - John Randolph Medical Center,1233,1095
HCA - LewisGale Hospital Montgomery,1247,1175
HCA - LewisGale Hospital Pulaski,567,575
HCA - Lewis-Gale Medical Center,3429,3091
HCA - Reston Hospital Center,3762,3555
HCA - Spotsylvania Regional Medical Center,1304,1160
HCA-Stonesprings Hospital Center-Employee Health,800,675
Healthtrust Supply Chain - Richmond Shared Services,773,7194
HealthWorks-Lynchburg,203,500
Healthy Community Health Centers- Stone Port,406,800
Highland Medical Center,0,600
"Highland Medical Center, Inc.",599,0
HMTHD-HAMPTONCITY-VICTORIA CENTER,6547,7400
HNVHD-HANOVERCOHD,7760,11900
Hope Pharmacy,0,500
Inova Occupational Health,132529,135175
Inova VIP 360 Falls Church,660,0
Jones & Counts Pharmacy,366,500
Kaiser Generic,18704,16350
Kroger Generic,5937,6980
Lawrenceville Correctional Center,244,500
LENHD-LEECO,424,600
LENHD-SCOTTCOHD,471,1000
LENHD-WISECO/CITYOFNORTON,6267,8240
LFXHD-Frederick-Winchester HD-MED,7593,10500
Longwood University,622,1600
Loudoun County Fire & Rescue,973,0
LOUHD-LOUDOUNCOHD-HERITAGE,35570,38705
LYNCHBURG FIRE DEPARTMENT,2266,1970
Main Street Pharmacy,428,550
Marion Correctional,1239,3200
Martin's Pharmacy of PULASKI,2059,2775
Mary Washington Hospital (MediCorp Health System),37035,42275
MCV/VCU Health System,32795,32190
Medical Associates of Southwest VA,341,500
Michael's Pharmacy,1461,2800
MTRHD-SMYTH CO Health Department,18760,25415
MY DR'S PHARMACY,287,500
