Healthcare Provider,Doses Administered,Doses Received,Date
Access Healthcare Multi-Specialty Group,333,600,2021-02-18
Alexandria Health Dept- King Street Center,13916,17710,2021-02-18
ALGHD-COVINGTON HEALTH DEPARTMENT,1437,1400,2021-02-18
ALGHD-ROANOKECO/VINTON HEALTH DEPARTMENT,672,0,2021-02-18
Arlington County Public Health - DHS/CHS,14325,18175,2021-02-18
Augusta Correctional Center,1762,1600,2021-02-18
Augusta Health,12026,14694,2021-02-18
Augusta Health- Occupational Health,3390,3390,2021-02-18
Ballad Health JOHNSTON MEMORIAL HOSPITAL,8644,11625,2021-02-18
Ballad Health Norton Community Hospital,4380,5345,2021-02-18
Ballad Health-BRMC OP COV POD,1843,0,2021-02-18
Bath County Community Hospital,678,900,2021-02-18
Bay Internists,0,900,2021-02-18
"Bay Internists, Inc.",732,0,2021-02-18
Bayview Physicians -Parent,985,0,2021-02-18
Bayview Volvo Medical Associates,3564,4750,2021-02-18
BH - Wellmont Ballad Health Tennessee,952,0,2021-02-18
BH - Wellmont Bristol Regional Medical Center TN,1333,0,2021-02-18
Blacksburg Pharmacy,849,1675,2021-02-18
Bon Secours - Southampton Memorial Hospital,442,1300,2021-02-18
Bon Secours - Southside Medical Center,2343,2990,2021-02-18
Bon Secours DePaul Medical Center,1494,2129,2021-02-18
Bon Secours Mary Immaculate Hospital,2202,3370,2021-02-18
Bon Secours Maryview Washington - Occupational Health,2059,3951,2021-02-18
Bon Secours Memorial Regional Medical Center,3917,2910,2021-02-18
Bon Secours Rappahannock General Hospital-Kilmarnock,1049,150,2021-02-18
Bon Secours Richmond Community Hospital,318,700,2021-02-18
Bon Secours St. Francis Medical Center,3587,2660,2021-02-18
Bon Secours St. Mary's Hospital,10273,16056,2021-02-18
Bremo Pharmacy,4101,5900,2021-02-18
BRHD-CH/AL HEALTH DISTRICT,9040,14350,2021-02-18
Buchanan General Hospital,689,1000,2021-02-18
Buford Road Pharmacy,1737,1600,2021-02-18
CareTeam Corporate Health- Danville,637,700,2021-02-18
Carilion Franklin Memorial Hospital,2015,2280,2021-02-18
Carilion Giles Community Hospital,1810,2200,2021-02-18
Carilion New River Medical Center,3754,5000,2021-02-18
Carilion Roanoke Memorial Hospital,31739,20605,2021-02-18
Carilion Rockbridge Community Hospital.,1922,23150,2021-02-18
Carilion Tazewell Community Hospital,1856,1390,2021-02-18
Cedarfield Pharmacy,1901,3200,2021-02-18
CENTRA - BEDFORD MEMORIAL HOSPITAL,654,900,2021-02-18
Centra - Lynchburg General Hospital,13580,14470,2021-02-18
Centra - Southside Community Hospital,1431,2200,2021-02-18
Centra Health Pearson Cancer Center,181,1025,2021-02-18
Centra Medical Group - Southside Pediatrics Center,815,1250,2021-02-18
Central Virginia Correctional Unit #13,709,900,2021-02-18
Chesapeake Internists,0,600,2021-02-18
"Chesapeake Internists, Ltd.",614,0,2021-02-18
Chesapeake Regional Medical Center - Occupational Health,6608,11200,2021-02-18
Chesterfield County Employee Medical Center,5325,6070,2021-02-18
CHFHD-CHESTERFIELDCOUNTYHD,6146,7735,2021-02-18
Children's Hospital of The King's Daughters,5753,10580,2021-02-18
Clinch Valley Medical Center,2008,3100,2021-02-18
CN Internal Medicine,600,600,2021-02-18
Commonshare Nonprofit Pharmacy,385,800,2021-02-18
Community Healthcare Center of the NRV- Christiansburg,957,1390,2021-02-18
Cornerstone Private Practice,462,500,2021-02-18
CPHD-BUCHANANCO-GRUNDY,1078,1250,2021-02-18
CPHD-DICKENSONCOHE-CLINIC,620,800,2021-02-18
CPHD-RUSSELLCOHD-LEBANON,4831,5410,2021-02-18
CPHD-TAZEWELLCO-TAZ,1819,1980,2021-02-18
Crewe Medical Center,656,1200,2021-02-18
CRHD-PETERSBURGCITYHD,4901,10450,2021-02-18
CSHD-AUGUSTA_STAUNTONHD,13528,16891,2021-02-18
CSHD-STAUNTON-AUGUSTAHD,1261,0,2021-02-18
CSHD-WAYNESBORO/AUGUSTAHD,525,100,2021-02-18
CSPHD-CHESAPEAKECITYHD,8521,9400,2021-02-18
CVFP - Forest Family Physicians,402,918,2021-02-18
