Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4804,95,4455,254,38153,33055,1093
"Columbia, SC HCS",4487,74,4213,200,18898,12078,1249
"North Chicago, IL HCS",4482,76,4380,26,10467,8432,175
"Phoenix, AZ HCS",4393,47,4111,235,31830,22753,438
"Atlanta, GA HCS",4378,97,4133,148,25990,15111,2120
"San Antonio, TX HCS",4228,61,4012,155,35795,25507,171
"Orlando, FL HCS",4076,99,3897,80,51078,41604,1241
"Dallas, TX HCS",3930,39,3728,163,32211,23276,74
"Loma Linda, CA HCS",3916,29,3722,165,23265,16033,800
"Houston, TX HCS",3881,64,3682,135,38465,30749,1089
"Gainesville, FL HCS",3799,51,3593,155,42647,34930,1374
Middle Tennessee HCS,3732,72,3472,188,25361,18344,1156
"Temple, TX HCS",3606,55,3436,115,27298,16791,2229
"Minneapolis, MN HCS",3253,93,2976,184,51550,41005,327
"Salisbury, NC HCS",3045,47,2862,136,27593,20483,500
"Bay Pines, FL HCS",3042,84,2857,101,43290,33352,1084
"Long Beach, CA HCS",3040,29,2900,111,25785,19055,615
"Greater Los Angeles, CA HCS",3038,26,2879,133,32218,25340,809
"Tampa, FL HCS",3007,75,2803,129,43720,36685,1375
"Aurora, CO HCS",2918,57,2769,92,27513,19165,653
"Mountain Home, TN HCS",2834,51,2619,164,16209,12574,1137
"Charleston, SC HCS",2797,49,2678,70,31570,22492,117
"Milwaukee, WI HCS",2768,38,2640,90,29518,24119,437
"Las Vegas, NV HCS",2687,49,2528,110,23993,19391,563
N. California HCS,2614,45,2446,123,37426,28729,588
"San Diego, CA HCS",2483,31,2405,47,33156,22206,207
"Little Rock, AR HCS",2473,15,2355,103,19551,13279,11
"Indianapolis, IN HCS",2448,28,2295,125,17318,13636,763
"Birmingham, AL HCS",2406,14,2259,133,21470,17488,2014
"Hines, IL HCS",2385,54,2240,91,25756,20480,494
"Fayetteville, NC HCS",2379,44,2261,74,23372,18274,539
"St. Louis, MO HCS",2337,38,2212,87,23059,17976,24
"Durham, NC HCS",2319,39,2180,100,28149,22750,1018
Texas Valley Coastal Bend HCS,2298,13,2131,154,12373,8697,626
"Muskogee, OK HCS",2258,16,2093,149,11810,8879,469
"Washington, DC HCS",2251,53,2078,120,23841,17923,858
"Kansas City, MO HCS",2248,11,2140,97,18937,16265,1175
Nebraska-W Iowa HCS,2224,46,2052,126,29729,26210,420
New Jersey HCS,2197,81,1966,150,15677,10624,451
"Miami, FL HCS",2170,40,2073,57,25820,21450,698
"Philadelphia, PA HCS",2130,79,1951,100,24869,19510,599
Southern Arizona HCS,2126,26,1936,164,22585,16248,1022
"Boston, MA HCS",2103,35,1937,131,20443,16058,257
"Columbia, MO HCS",2094,16,1942,136,14996,13343,374
"Oklahoma City, OK HCS",2079,29,1902,148,21526,18095,813
"Asheville, NC HCS",2030,38,1890,102,12619,9585,713
"Gulf Coast, MS HCS",2028,30,1912,86,20412,13834,1034
Connecticut HCS,2017,44,1876,97,27060,24124,72
"New Orleans, LA HCS",1988,16,1868,104,28124,25501,142
"Louisville, KY HCS",1981,28,1856,97,14874,10298,633
New York Harbor HCS,1964,49,1781,134,20985,17936,211
"Fayetteville, AR HCS",1954,28,1815,111,14364,10459,1173
"Lebanon, PA HCS",1918,61,1742,115,18724,13406,676
"Richmond, VA HCS",1917,44,1784,89,24672,18363,443
"Chicago, IL HCS",1910,29,1794,87,19610,15987,284
"Augusta, GA HCS",1821,12,1723,86,17166,15131,<10
"Palo Alto, CA HCS",1789,29,1665,95,24872,20055,712
"Cincinnati, OH HCS",1759,31,1671,57,13622,9861,525
"West Palm Beach, FL HCS",1723,30,1622,71,25787,22608,603
Central Alabama HCS,1719,26,1632,61,12009,8187,<10
"Pittsburgh, PA HCS",1713,44,1579,90,25444,21136,278
"Shreveport, LA HCS",1701,25,1574,102,11424,8371,736
"Ann Arbor, MI HCS",1670,88,1517,65,29481,27216,10
"Bronx, NY HCS",1644,37,1488,119,8507,6971,160
"Salt Lake City, UT HCS",1644,34,1545,65,16286,11630,675
"Dayton, OH HCS",1640,31,1541,68,13452,9703,247
"Baltimore, MD HCS",1624,50,1505,69,22691,18454,14
"Fresno, CA HCS",1624,17,1521,86,12301,9093,714
"Boise, ID HCS",1622,22,1537,63,11454,8587,710
