FacilityLatitude,FacilityLongitude,VA Confirmed,VA Deaths with 0,Facility
29.96349724,-90.08453613,436,31,(629) SE LOUISIANA VETERANS HCS
40.86908966,-73.90312889,389,36,(526) BRONX VAMC
40.73652707,-73.97761421,356,36,(630) NEW YORK HHS
40.75386906,-74.23435543,301,30,(561) EAST ORANGE-VA NEW JERSEY HCS
41.87093133,-87.67637943,161,11,(537) JESSE BROWN VAMC
39.74454,-104.830971,150,1,(554) ROCKY MOUNTAIN REGIONAL VAMC
41.24513688,-73.92641261,140,2,(620) HUDSON VALLEY HCS VAMC
38.9311137,-77.01091105,138,12,(688) WASHINGTON VA MEDICAL CENTER
42.3270244,-71.11109941,137,6,(523) BOSTON HCS VAMC
42.35514102,-83.06034128,133,18,"(553) DETROIT, MI VAMC"
41.28435892,-72.95731298,128,0,(689) CONNECTICUT HCS
39.77978309,-86.18645756,121,10,(583) RICHARD L. ROUDEBUSH VAMC
42.3084163,-87.86247337,119,1,(556) CAPTN JAMES LOVELL FED HLT CTR
40.89858206,-73.30569989,115,10,(632) NORTHPORT VAMC
39.94979196,-75.20127832,114,3,"(642) PHILADELPHIA, PA VAMC"
33.80224316,-84.31022566,102,5,(508) ATLANTA VAMC
42.50368318,-71.27267735,82,0,(518) EDITH NOURSE ROGERS VAMC
25.79043779,-80.21617191,79,4,(546) MIAMI VAMC
33.97997767,-80.96186614,77,3,"(544) COLUMBIA, SC VAMC"
41.51263802,-81.61320394,74,1,(541) CLEVELAND VAMC
42.28728496,-83.71230035,66,3,(506) ANN ARBOR VA MEDICAL CENTER
34.05239096,-118.45844544,64,4,(691) WEST LA VAMC
28.36669157,-81.27650339,63,1,(675) ORLANDO VAMC
18.39096998,-66.08329001,61,0,(672) SAN JUAN VA MEDICAL CENTER
37.4987291,-77.47024506,59,3,(652) HUNTER HOLMES MCGUIRE HOSPITAL
39.0672509,-94.5287533,57,1,(589) KANSAS CITY VAMC
43.01960629,-87.97615803,54,3,(695) MILWAUKEE VAMC
47.56199978,-122.31100138,53,0,(663) SEATTLE VA MEDICAL CENTER
38.64148808,-90.22987449,53,3,(657) ST. LOUIS VAMC
41.86061618,-87.84068297,45,3,"(578) HINES, IL VAMC"
37.01529815,-76.33326216,45,1,(590) HAMPTON VA MEDICAL CENTER
36.28298334,-115.09868597,39,0,(593) SOUTHERN NEVADA HCS
33.77532848,-118.11992957,37,1,(600) LONG BEACH VAMC
42.95122016,-78.81368285,36,3,(528) UPSTATE NEW YORK HCS
32.87182243,-117.23142307,34,0,(664) SAN DIEGO HCS
40.31482717,-76.40835226,33,0,(595) LEBANON VA MEDICAL CENTER
38.27079232,-85.6941781,31,3,(603) ROBLEY REX VAMC
32.50000749,-93.72284988,30,3,(667) SHREVEPORT VAMC
39.14010788,-84.50936526,30,1,(539) CINCINNATI
44.90186052,-93.20386773,29,3,(618) MINNEAPOLIS VA HCS
36.14233533,-86.80476737,29,1,(626) TENNESSEE VALLEY HCS
26.78589217,-80.10727143,28,2,(548) WEST PALM BEACH VAMC
32.69410804,-96.79289902,27,3,(549) DALLAS VA MEDICAL CENTER
42.34805261,-72.68747945,27,0,(631) VA CNTRL WSTRN MASSCHUSETS HCS
34.74500322,-92.32195186,26,1,(598) CENTRAL ARKANSAS HCS
