LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF includes both employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,2
Baskerville Correctional Center,0,0,0,0,0
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,47,3,1,51,4
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,20,0,0,57,3
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,0,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),76,0,1,77,6
Dillwyn Correctional Center,193,6,0,203,8
Fluvanna Correctional Center for Women,0,0,0,0,0
Green Rock Correctional Center,0,0,0,0,0
Greensville Correctional Center (includes Greensville Work Center),0,0,0,0,5
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,6,1,0,25,0
Haynesville Correctional Center,97,1,0,154,2
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,0,0,0,0,4
Keen Mountain Correctional Center,0,0,0,0,0
Lawrenceville Correctional Center,0,0,0,0,0
Lunenburg Correctional Center,0,0,0,0,0
Marion Correctional Treatment Center,0,0,0,0,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,0,2
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,0,0
River North Correctional Center,0,0,0,0,2
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,0,0
Stafford Men’s CCAP,0,0,0,0,0
State Farm Correctional Complex,0,0,0,0,1
Sussex I State Prison,0,0,0,0,2
Sussex II State Prison,54,0,1,61,12
Virginia Correctional Center for Women (includes State Farm Work Center),3,0,1,43,18
Wallens Ridge State Prison,0,0,0,0,3
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
TOTALS,496,11,4,671,74
