"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-15,Southside,"Not Reported",194,26,10
2020-06-15,"Lord Fairfax","Hispanic or Latino",469,32,7
2020-06-15,"Eastern Shore","Not Hispanic or Latino",932,86,38
2020-06-15,Portsmouth,"Hispanic or Latino",13,2,0
2020-06-15,Fairfax,"Not Reported",3234,107,83
2020-06-15,Richmond,"Hispanic or Latino",618,56,2
2020-06-15,Chesapeake,"Not Reported",137,7,0
2020-06-15,Arlington,"Hispanic or Latino",1139,193,19
2020-06-15,"West Piedmont","Not Hispanic or Latino",186,25,4
2020-06-15,Fairfax,"Not Hispanic or Latino",3413,729,300
2020-06-15,Piedmont,"Hispanic or Latino",32,0,1
2020-06-15,Crater,"Not Hispanic or Latino",422,79,12
2020-06-15,Chickahominy,"Not Hispanic or Latino",250,76,32
2020-06-15,"New River","Not Hispanic or Latino",95,17,4
2020-06-15,"Lord Fairfax","Not Reported",455,22,12
2020-06-15,Rappahannock,"Not Reported",747,26,1
2020-06-15,"Central Shenandoah","Not Reported",242,6,4
2020-06-15,"Central Virginia","Not Hispanic or Latino",82,12,3
2020-06-15,Lenowisco,"Not Hispanic or Latino",25,11,2
2020-06-15,"Cumberland Plateau","Not Hispanic or Latino",21,2,0
2020-06-15,"Western Tidewater","Not Hispanic or Latino",418,75,45
2020-06-15,"New River","Not Reported",39,0,0
2020-06-15,Chesterfield,"Not Reported",1471,23,16
2020-06-15,Chesterfield,"Hispanic or Latino",451,21,1
2020-06-15,Hampton,"Not Hispanic or Latino",160,33,4
2020-06-15,Chesapeake,"Not Hispanic or Latino",468,86,15
2020-06-15,Peninsula,"Hispanic or Latino",131,10,0
2020-06-15,Arlington,"Not Reported",271,24,11
2020-06-15,Roanoke,"Not Hispanic or Latino",83,10,9
2020-06-15,"Lord Fairfax","Not Hispanic or Latino",808,93,42
2020-06-15,"Eastern Shore","Hispanic or Latino",220,6,3
2020-06-15,"Mount Rogers","Not Reported",57,5,1
2020-06-15,"Three Rivers","Not Hispanic or Latino",330,33,8
2020-06-15,"Thomas Jefferson","Not Reported",116,1,0
2020-06-15,"Three Rivers","Not Reported",185,11,1
2020-06-15,Arlington,"Not Hispanic or Latino",936,188,95
2020-06-15,Alleghany,"Not Hispanic or Latino",138,22,14
2020-06-15,Loudoun,"Not Reported",1893,8,5
2020-06-15,Fairfax,"Hispanic or Latino",6568,682,53
2020-06-15,Peninsula,"Not Reported",156,2,0
2020-06-15,Crater,"Hispanic or Latino",79,2,2
2020-06-15,Piedmont,"Not Hispanic or Latino",483,58,4
2020-06-15,Henrico,"Hispanic or Latino",384,29,4
2020-06-15,Alexandria,"Not Hispanic or Latino",769,117,42
2020-06-15,"Central Virginia","Hispanic or Latino",20,1,1
2020-06-15,Alleghany,"Not Reported",85,1,0
2020-06-15,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-06-15,"Western Tidewater","Hispanic or Latino",5,1,0
2020-06-15,Chesterfield,"Not Hispanic or Latino",438,83,39
2020-06-15,Pittsylvania-Danville,"Not Hispanic or Latino",99,25,3
2020-06-15,"Mount Rogers","Hispanic or Latino",140,0,0
2020-06-15,Richmond,"Not Reported",705,27,3
2020-06-15,Peninsula,"Not Hispanic or Latino",482,109,33
2020-06-15,Chesapeake,"Hispanic or Latino",67,9,1
2020-06-15,Southside,"Hispanic or Latino",2,1,0
2020-06-15,"Thomas Jefferson","Not Hispanic or Latino",411,74,19
2020-06-15,Norfolk,"Not Hispanic or Latino",371,69,7
2020-06-15,Portsmouth,"Not Reported",207,11,2
2020-06-15,Norfolk,"Not Reported",175,0,0
2020-06-15,"Three Rivers","Hispanic or Latino",69,2,0
2020-06-15,"Eastern Shore","Not Reported",106,1,0
2020-06-15,Alleghany,"Hispanic or Latino",40,4,0
2020-06-15,Henrico,"Not Reported",847,34,16
2020-06-15,Henrico,"Not Hispanic or Latino",1058,175,116
2020-06-15,Loudoun,"Not Hispanic or Latino",703,115,60
2020-06-15,Hampton,"Not Reported",52,2,1
2020-06-15,"Rappahannock Rapidan","Not Hispanic or Latino",300,40,11
2020-06-15,Alexandria,"Not Reported",189,6,0
2020-06-15,Rappahannock,"Not Hispanic or Latino",670,97,25
2020-06-15,"Western Tidewater","Not Reported",277,2,1
2020-06-15,"Cumberland Plateau","Not Reported",14,0,0
2020-06-15,Alexandria,"Hispanic or Latino",1202,102,6
