Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS,Report Date
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak Closed,2020-05-04,15,0,0,51001,2020-09-24
Albemarle,Albemarle Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-10,7,0,1,51003,2020-09-24
Albemarle,Charlottesville Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-08-04,17,0,0,51003,2020-09-24
Albemarle,Heritage Inn,Assisted Living,Outbreak Pending Closure,2020-06-30,60,5,0,51003,2020-09-24
Albemarle,Monroe Health & Rehabilitation Center,Multicare,Outbreak in Progress,2020-08-18,8,0,1,51003,2020-09-24
Albemarle,Our Lady of Peace,Multicare,Outbreak Pending Closure,2020-04-21,66,10,0,51003,2020-09-24
Albemarle,The Colonnades,Nursing Home,Outbreak in Progress,2020-08-14,8,0,1,51003,2020-09-24
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0,0,51003,2020-09-24
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-08-14,*,*,0,51003,2020-09-24
Alexandria,Envoy of Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-03,57,10,0,51510,2020-09-24
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak Pending Closure,2020-06-30,14,0,0,51510,2020-09-24
Alexandria,Hermitage in Northern Virginia,Multicare,Outbreak Pending Closure,2020-04-16,30,6,0,51510,2020-09-24
Alexandria,Silverado,Assisted Living,Outbreak Pending Closure,2020-04-11,31,10,0,51510,2020-09-24
Alexandria,Sunrise of Alexandria,Assisted Living,Outbreak in Progress,2020-04-30,25,5,1,51510,2020-09-24
Alexandria,The Fountains at Washington House,Multicare,Outbreak Pending Closure,2020-04-24,29,*,0,51510,2020-09-24
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-17,61,6,0,51510,2020-09-24
Amelia,Wellspring at Amelia,Nursing Home,Outbreak Pending Closure,2020-07-17,29,*,0,51007,2020-09-24
Amherst,Fairmont Crossing Rehabilitation & Healthcare,Nursing Home,Outbreak in Progress,2020-07-29,5,0,1,51009,2020-09-24
Appomattox,Appomattox Health and Rehab,Multicare,Outbreak in Progress,2020-07-29,*,0,1,51011,2020-09-24
Arlington,Brookdale Assisted Living,Multicare,Outbreak Closed,2020-03-28,49,10,0,51013,2020-09-24
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,144,28,0,51013,2020-09-24
Arlington,Culpepper Garden,Assisted Living,Outbreak Closed,2020-06-05,*,0,0,51013,2020-09-24
Arlington,Manor Care Health Services - Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,86,18,0,51013,2020-09-24
Arlington,Regency Care of Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,137,30,0,51013,2020-09-24
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak Pending Closure,2020-05-15,17,*,0,51013,2020-09-24
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-08-19,26,*,1,51013,2020-09-24
Arlington,Sunrise of Arlington,Assisted Living,Outbreak Pending Closure,2020-05-19,21,*,0,51013,2020-09-24
Arlington,Sunrise of Arlington,Assisted Living,Outbreak Pending Closure,2020-08-05,*,0,0,51013,2020-09-24
Arlington,The Jefferson,Multicare,Outbreak Pending Closure,2020-04-04,38,9,0,51013,2020-09-24
Augusta,Golden Gardens Residential Living,Assisted Living,Outbreak Pending Closure,2020-05-06,*,0,0,51015,2020-09-24
Bedford,Bedford County Nursing Home,Nursing Home,Outbreak in Progress,2020-08-20,12,*,1,51019,2020-09-24
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak Pending Closure,2020-05-27,11,*,0,51019,2020-09-24
Bland,Bland County Nursing and Rehab,Multicare,Outbreak in Progress,2020-08-10,33,*,1,51021,2020-09-24
Botetourt,Carrington Place at Botetourt,Nursing Home,Outbreak Pending Closure,2020-06-24,23,5,0,51023,2020-09-24
Botetourt,The Glebe Retirement Community,Multicare,Outbreak in Progress,2020-08-25,7,0,1,51023,2020-09-24
Bristol,NHC Healthcare,Nursing Home,Outbreak in Progress,2020-08-10,*,0,1,51520,2020-09-24
Bristol,Rehab Center and Memory Care of Bristol,Assisted Living,Outbreak in Progress,2020-08-04,78,*,1,51520,2020-09-24
Carroll,Commonwealth Assisted Living at Hillsville,Assisted Living,Outbreak in Progress,2020-08-14,46,*,1,51035,2020-09-24
Carroll,Hillsville Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-14,65,10,0,51035,2020-09-24
Charlottesville,Cedars Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-07-10,142,9,0,51540,2020-09-24
Chesapeake,Autum Care of Chesapeake,Nursing Home,Outbreak Pending Closure,2020-04-13,41,5,0,51550,2020-09-24
Chesapeake,Cedar Manor,Assisted Living,Outbreak Closed,2020-04-17,16,*,0,51550,2020-09-24
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak Closed,2020-06-15,13,*,0,51550,2020-09-24
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-07-22,20,*,0,51550,2020-09-24
Chesapeake,Chesapeake Place ALF,Assisted Living,Outbreak in Progress,2020-07-21,8,0,1,51550,2020-09-24
Chesapeake,Chesapeake Place ALF,Assisted Living,Outbreak in Progress,2020-09-18,6,0,1,51550,2020-09-24
Chesapeake,Commonwealth Memory Care,Assisted Living,Outbreak Pending Closure,2020-07-16,15,*,0,51550,2020-09-24
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak Pending Closure,2020-06-09,51,9,0,51550,2020-09-24
Chesapeake,Harmony at Oakbrooke,Assisted Living,Outbreak Closed,2020-04-29,11,*,0,51550,2020-09-24
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,*,0,0,51550,2020-09-24
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,5,0,0,51550,2020-09-24
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Pending Closure,2020-07-24,6,*,0,51550,2020-09-24
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak in Progress,2020-08-11,6,*,1,51550,2020-09-24
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak Pending Closure,2020-06-15,*,0,0,51550,2020-09-24
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak Pending Closure,2020-08-11,5,0,0,51550,2020-09-24
Chesterfield,Auburn Hill Senior Living,Assisted Living,Outbreak in Progress,2020-08-10,*,0,1,51041,2020-09-24
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,41,7,0,51041,2020-09-24
Chesterfield,Elmcroft of Chesterfield,Assisted Living,Outbreak in Progress,2020-06-24,*,0,1,51041,2020-09-24
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,12,5,0,51041,2020-09-24
Chesterfield,Laurels of Willow Creek,Nursing Home,Outbreak Pending Closure,2020-05-27,28,8,0,51041,2020-09-24
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,*,0,0,51041,2020-09-24
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak Pending Closure,2020-04-14,33,10,0,51041,2020-09-24
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,37,7,0,51041,2020-09-24
Chesterfield,The Crossings at Bon Air,Assisted Living,Outbreak in Progress,2020-07-22,*,0,1,51041,2020-09-24
Chesterfield,The Memory Center of Richmond,Assisted Living,Outbreak in Progress,2020-08-05,*,0,1,51041,2020-09-24
Chesterfield,Tyler's Retreat at Iron Bridge,Nursing Home,Outbreak in Progress,2020-08-05,*,0,1,51041,2020-09-24
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Outbreak Pending Closure,2020-04-07,53,17,0,51570,2020-09-24
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,5,*,0,51570,2020-09-24
Culpeper,Culpeper Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-07-21,27,*,0,51047,2020-09-24
Danville,Brookdale Danville Piedmont,Assisted Living,Outbreak in Progress,2020-09-06,*,0,1,51590,2020-09-24
Danville,Brookdale Danville Piedmont,Assisted Living,Outbreak Pending Closure,2020-04-16,*,*,0,51590,2020-09-24
Danville,Riverside Health and Rehabilitation Center,Multicare,Outbreak in Progress,2020-07-13,80,9,1,51590,2020-09-24
Danville,Roman Eagle Memorial Home,Nursing Home,Outbreak in Progress,2020-07-20,83,7,1,51590,2020-09-24
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-06-15,16,*,0,51053,2020-09-24
Emporia,Accordius Health and Rehab,Nursing Home,Outbreak Closed,2020-04-20,55,13,0,51595,2020-09-24
Emporia,Emporia/Greensville Manor,Nursing Home,Outbreak in Progress,2020-05-30,51,7,1,51595,2020-09-24
Emporia,Eugene H Bloom Retirement Center,Assisted Living,Outbreak in Progress,2020-07-06,*,0,1,51595,2020-09-24
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Closed,2020-04-09,*,*,0,51059,2020-09-24
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Pending Closure,2020-08-27,*,*,0,51059,2020-09-24
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-09,156,55,0,51059,2020-09-24
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak in Progress,2020-05-12,5,*,1,51059,2020-09-24
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,19,8,0,51059,2020-09-24
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,13,5,0,51059,2020-09-24
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Outbreak Pending Closure,2020-04-17,5,*,0,51059,2020-09-24
Fairfax,Arleigh Burke Pavilion,Multicare,Outbreak Pending Closure,2020-04-15,46,8,0,51059,2020-09-24
Fairfax,Bright View Woodburn,Assisted Living,Outbreak Pending Closure,2020-04-28,29,10,0,51059,2020-09-24
Fairfax,Brightview of Great Falls,Assisted Living,Outbreak Closed,2020-04-24,7,*,0,51059,2020-09-24
Fairfax,Brightview Woodburn,Multicare,Outbreak Pending Closure,2020-09-11,*,*,0,51059,2020-09-24
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,129,24,0,51059,2020-09-24
Fairfax,Chesterbrook Residences,Assisted Living,Outbreak Pending Closure,2020-04-07,31,7,0,51059,2020-09-24
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,101,23,0,51059,2020-09-24
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-04-17,71,14,0,51059,2020-09-24
Fairfax,Gardens at Fair Oaks,Assisted Living,Outbreak Pending Closure,2020-05-21,14,*,0,51059,2020-09-24
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Outbreak Pending Closure,2020-04-24,28,*,0,51059,2020-09-24
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,19,6,0,51059,2020-09-24
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak Pending Closure,2020-04-17,68,20,0,51059,2020-09-24
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak Pending Closure,2020-08-06,7,0,0,51059,2020-09-24
Fairfax,Harmony at Chantilly,Assisted Living,Outbreak Pending Closure,2020-05-01,19,*,0,51059,2020-09-24
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,*,0,1,51059,2020-09-24
Fairfax,Heatherwood Retirement Community,Assisted Living,Outbreak Pending Closure,2020-04-11,50,11,0,51059,2020-09-24
Fairfax,Hunter's Woods at Trails Edge,Multicare,Outbreak Pending Closure,2020-06-04,10,*,0,51059,2020-09-24
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,78,13,0,51059,2020-09-24
Fairfax,Larmax Homes,Assisted Living,Outbreak Pending Closure,2020-04-17,17,*,0,51059,2020-09-24
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,9,*,0,51059,2020-09-24
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Pending Closure,2020-04-09,114,35,0,51059,2020-09-24
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-24,79,8,0,51059,2020-09-24
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Outbreak Pending Closure,2020-05-04,136,13,0,51059,2020-09-24
Fairfax,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-04-09,79,15,0,51059,2020-09-24
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,*,0,0,51059,2020-09-24
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak in Progress,2020-09-21,*,*,1,51059,2020-09-24
Fairfax,Renaissance of Annandale,Assisted Living,Outbreak Closed,2020-05-12,27,*,0,51059,2020-09-24
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak Pending Closure,2020-05-12,14,*,0,51059,2020-09-24
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak Pending Closure,2020-07-24,31,0,0,51059,2020-09-24
Fairfax,Stevenson's Place,Assisted Living,Outbreak Closed,2020-06-04,*,0,0,51059,2020-09-24
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,59,14,0,51059,2020-09-24
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak Closed,2020-04-07,16,*,0,51059,2020-09-24
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak in Progress,2020-08-28,*,*,1,51059,2020-09-24
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,*,0,1,51059,2020-09-24
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-09-04,*,0,1,51059,2020-09-24
Fairfax,Sunrise of Springfield,Assisted Living,Outbreak Pending Closure,2020-04-10,22,*,0,51059,2020-09-24
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,8,0,1,51059,2020-09-24
Fairfax,Tall Oaks,Assisted Living,Outbreak Pending Closure,2020-04-30,47,11,0,51059,2020-09-24
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Pending Closure,2020-04-24,11,*,0,51059,2020-09-24
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Pending Closure,2020-07-14,16,*,0,51059,2020-09-24
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak Pending Closure,2020-03-17,27,*,0,51059,2020-09-24
Fairfax,The Lincolnian,Assisted Living,Outbreak Closed,2020-04-24,26,*,0,51059,2020-09-24
Fairfax,The Virginian Retirement Community,Multicare,Outbreak Pending Closure,2020-04-09,141,26,0,51059,2020-09-24
Fairfax,Tysons Woods Assisted Living,Assisted Living,Outbreak Pending Closure,2020-05-20,10,*,0,51059,2020-09-24
Fauquier,Brookside Rehab & Nursing Ctr (Oak Springs),Nursing Home,Outbreak in Progress,2020-08-14,93,15,1,51061,2020-09-24
Floyd,Skyline Manor Nursing and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-25,*,0,1,51063,2020-09-24
Floyd,Skyline Manor Nursing and Rehab Center,Nursing Home,Outbreak in Progress,2020-08-24,23,*,1,51063,2020-09-24
Fluvanna,Envoy at the Village,Nursing Home,Outbreak Closed,2020-04-08,65,8,0,51065,2020-09-24
Franklin City,Village At Woods Edge,Assisted Living,Outbreak Closed,2020-06-23,9,*,0,51620,2020-09-24
Frederick,Hilltop House,Assisted Living,Outbreak Closed,2020-07-03,15,*,0,51069,2020-09-24
Frederick,The Village at Orchard Ridge,Assisted Living,Outbreak Closed,2020-07-17,16,0,0,51069,2020-09-24
Fredericksburg,Hughes Home for Adults,Assisted Living,Outbreak Closed,2020-07-15,42,5,0,51630,2020-09-24
Fredericksburg,Poets Walk,Assisted Living,Outbreak Closed,2020-06-03,15,0,0,51630,2020-09-24
Fredericksburg,Poets Walk Memory Care,Assisted Living,Outbreak Closed,2020-08-25,*,0,0,51630,2020-09-24
Galax,Galax Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-27,93,19,0,51640,2020-09-24
Galax,Waddell Nursing and Rehab,Nursing Home,Outbreak in Progress,2020-05-24,12,0,1,51640,2020-09-24
Gloucester,Walter Reed Convalescent Center- Gloucester,Nursing Home,Outbreak in Progress,2020-08-14,*,0,1,51073,2020-09-24
Grayson,Grayson Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-08-30,65,*,1,51077,2020-09-24
Greene,Grace Health and Rehab Center of Greene County,Nursing Home,Outbreak Pending Closure,2020-07-06,7,0,0,51079,2020-09-24
Hampton,Coliseum Park Conv and Rehab Center,Nursing Home,Outbreak in Progress,2020-07-22,*,*,1,51650,2020-09-24
Hampton,Golden Care Assisted Living,Assisted Living,Outbreak in Progress,2020-08-24,7,0,1,51650,2020-09-24
Hampton,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak Closed,2020-04-01,37,0,0,51650,2020-09-24
Hampton,Northampton Convalescent & Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-08-09,*,0,1,51650,2020-09-24
Hampton,Riverside Convalescent Center - Hampton,Nursing Home,Outbreak in Progress,2020-07-22,*,0,1,51650,2020-09-24
Hanover,Ashland Convalescent Center,Nursing Home,Outbreak Pending Closure,2020-05-06,18,*,0,51085,2020-09-24
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak Closed,2020-04-05,45,11,0,51085,2020-09-24
Hanover,Covenant Woods Nursing Home,Multicare,Outbreak in Progress,2020-05-20,*,0,1,51085,2020-09-24
Hanover,Hanover Healthcare,Nursing Home,Outbreak Pending Closure,2020-08-10,*,0,0,51085,2020-09-24
Hanover,The Crossings at Hanover,Assisted Living,Outbreak Closed,2020-04-03,60,12,0,51085,2020-09-24
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Outbreak Pending Closure,2020-04-08,112,25,0,51660,2020-09-24
Harrisonburg,Harrisonburg Health and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-05-27,93,5,0,51660,2020-09-24
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-03-28,76,17,0,51087,2020-09-24
Henrico,Beth Sholom Parkside,Assisted Living,Outbreak Closed,2020-04-17,*,*,0,51087,2020-09-24
Henrico,Blue Ridge Senior Living,Assisted Living,Outbreak Pending Closure,2020-08-21,20,*,0,51087,2020-09-24
Henrico,Brookdale West End,Multicare,Outbreak Closed,2020-07-27,22,*,0,51087,2020-09-24
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-03-17,177,51,0,51087,2020-09-24
Henrico,Canterbury Health and Rehab,Nursing Home,Outbreak Closed,2020-07-06,*,0,0,51087,2020-09-24
Henrico,Cedarfield Retirement Community,Assisted Living,Outbreak Closed,2020-04-14,27,*,0,51087,2020-09-24
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Outbreak Closed,2020-06-02,*,0,0,51087,2020-09-24
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Outbreak Closed,2020-04-30,96,22,0,51087,2020-09-24
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-05,114,17,0,51087,2020-09-24
Henrico,Henrico Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-09-04,5,*,1,51087,2020-09-24
Henrico,Lakewood Manor Baptist Retirement Community,Multicare,Outbreak Closed,2020-04-09,15,*,0,51087,2020-09-24
Henrico,Manor Care Health Services,Nursing Home,Outbreak Closed,2020-04-01,11,*,0,51087,2020-09-24
Henrico,Masonic Home of Virginia,Assisted Living,Outbreak Closed,2020-03-28,45,6,0,51087,2020-09-24
