Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-05-04,12,0
Albemarle,Albemarle Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-10,6,0
Albemarle,Heritage Inn,Assisted Living,Outbreak in Progress,2020-06-30,46,*
Albemarle,Our Lady of Peace,Multicare,Outbreak Pending Closure,2020-04-21,56,10
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0
Alexandria,Envoy of Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-03,56,10
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak in Progress,2020-06-30,14,0
Alexandria,Hermitage in Northern Virginia,Multicare,Outbreak Pending Closure,2020-04-16,30,5
Alexandria,Silverado,Assisted Living,Outbreak Pending Closure,2020-04-11,30,9
Alexandria,Sunrise of Alexandria,Assisted Living,Outbreak Pending Closure,2020-04-30,21,*
Alexandria,The Fountains at Washington House,Multicare,Outbreak Pending Closure,2020-04-24,28,*
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-17,40,*
Amelia,Wellspring at Amelia,Nursing Home,Outbreak in Progress,2020-07-17,*,0
Arlington,Brookdale Assisted Living,Multicare,Outbreak Closed,2020-03-28,49,10
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,144,28
Arlington,Culpepper Garden,Assisted Living,Outbreak Closed,2020-06-05,*,0
Arlington,Manor Care Health Services - Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,86,19
Arlington,Regency Care of Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,137,30
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak Pending Closure,2020-05-15,16,*
Arlington,Sunrise of Arlington,Assisted Living,Outbreak Pending Closure,2020-05-19,21,*
Arlington,The Jefferson,Multicare,Outbreak Pending Closure,2020-04-04,38,9
Augusta,Golden Gardens Residential Living,Assisted Living,Outbreak Pending Closure,2020-05-06,*,0
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak Pending Closure,2020-05-27,7,0
Botetourt,Carrington Place at Botetourt,Nursing Home,Outbreak in Progress,2020-06-24,13,0
Carroll,Hillsville Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-14,65,7
Charlottesville,Cedars Healthcare Center,Nursing Home,Outbreak in Progress,2020-07-10,50,*
Chesapeake,Autum Care of Chesapeake,Nursing Home,Outbreak in Progress,2020-04-13,41,*
Chesapeake,Cedar Manor,Assisted Living,Outbreak Closed,2020-04-17,16,*
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak Closed,2020-06-15,13,*
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-07-22,20,0
Chesapeake,Chesapeake Place ALF,Assisted Living,Outbreak in Progress,2020-07-21,*,0
Chesapeake,Commonwealth Memory Care,Assisted Living,Outbreak in Progress,2020-07-16,*,0
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak in Progress,2020-06-09,38,*
Chesapeake,Harmony at Oakbrooke,Assisted Living,Outbreak Closed,2020-04-29,11,*
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,*,0
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,5,0
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak Pending Closure,2020-06-15,*,0
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,39,7
