Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS,Report Date
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak Closed,2020-05-04,15,0,0,51001,2020-09-09
Albemarle,Albemarle Health and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-07-10,6,0,0,51003,2020-09-09
Albemarle,Charlottesville Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-08-04,17,0,1,51003,2020-09-09
Albemarle,Heritage Inn,Assisted Living,Outbreak Pending Closure,2020-06-30,53,5,0,51003,2020-09-09
Albemarle,Monroe Health & Rehabilitation Center,Multicare,Outbreak in Progress,2020-08-18,8,0,1,51003,2020-09-09
Albemarle,Our Lady of Peace,Multicare,Outbreak Pending Closure,2020-04-21,56,10,0,51003,2020-09-09
Albemarle,The Colonnades,Nursing Home,Outbreak in Progress,2020-08-14,8,0,1,51003,2020-09-09
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0,0,51003,2020-09-09
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak in Progress,2020-08-14,*,0,1,51003,2020-09-09
Alexandria,Envoy of Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-03,56,10,0,51510,2020-09-09
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak in Progress,2020-06-30,14,0,1,51510,2020-09-09
Alexandria,Hermitage in Northern Virginia,Multicare,Outbreak Pending Closure,2020-04-16,30,5,0,51510,2020-09-09
Alexandria,Silverado,Assisted Living,Outbreak Pending Closure,2020-04-11,31,10,0,51510,2020-09-09
Alexandria,Sunrise of Alexandria,Assisted Living,Outbreak Pending Closure,2020-04-30,23,5,0,51510,2020-09-09
Alexandria,The Fountains at Washington House,Multicare,Outbreak in Progress,2020-04-24,29,*,1,51510,2020-09-09
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-17,58,*,0,51510,2020-09-09
Amelia,Wellspring at Amelia,Nursing Home,Outbreak in Progress,2020-07-17,29,*,1,51007,2020-09-09
Amherst,Fairmont Crossing Rehabilitation & Healthcare,Nursing Home,Outbreak in Progress,2020-07-29,5,0,1,51009,2020-09-09
Appomattox,Appomattox Health and Rehab,Multicare,Outbreak in Progress,2020-07-29,*,0,1,51011,2020-09-09
Arlington,Brookdale Assisted Living,Multicare,Outbreak Closed,2020-03-28,49,10,0,51013,2020-09-09
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,144,28,0,51013,2020-09-09
Arlington,Culpepper Garden,Assisted Living,Outbreak Closed,2020-06-05,*,0,0,51013,2020-09-09
Arlington,Manor Care Health Services - Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,86,18,0,51013,2020-09-09
Arlington,Regency Care of Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,137,30,0,51013,2020-09-09
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak Pending Closure,2020-05-15,17,*,0,51013,2020-09-09
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-08-19,25,*,1,51013,2020-09-09
Arlington,Sunrise of Arlington,Assisted Living,Outbreak Pending Closure,2020-05-19,21,*,0,51013,2020-09-09
