Report Date,Status,Locality,FIPS,Facility,Facility Type,Date VDH Notified,Cases,Deaths,Active
2020-07-05,Outbreak in Progress,Accomack,51001,Shore Healthcare and Rehab Center,Nursing Home,2020-05-04,12,0,1
2020-07-05,Outbreak in Progress,Albemarle,51003,Heritage Inn,Assisted Living,2020-06-30,*,0,1
2020-07-05,Pending Closure,Albemarle,51003,Our Lady of Peace,Multicare,2020-04-21,56,9,0
2020-07-05,Outbreak Closed,Albemarle,51003,Westminster Canterbury of The Blue Ridge NH,Multicare,2020-05-04,*,0,0
2020-07-05,Pending Closure,Alexandria,51510,Envoy of Alexandria,Nursing Home,2020-04-03,56,10,0
2020-07-05,Outbreak in Progress,Alexandria,51510,Goodwin House - Alexandria,Assisted Living,2020-06-30,14,0,1
2020-07-05,Pending Closure,Alexandria,51510,Hermitage in Northern Virginia,Multicare,2020-04-16,30,5,0
2020-07-05,Pending Closure,Alexandria,51510,Silverado,Assisted Living,2020-04-11,30,9,0
2020-07-05,Pending Closure,Alexandria,51510,Sunrise of Alexandria,Assisted Living,2020-04-30,19,*,0
2020-07-05,Pending Closure,Alexandria,51510,The Fountains at Washington House,Multicare,2020-04-24,27,*,0
2020-07-05,Outbreak in Progress,Alexandria,51510,Woodbine Rehabilitation & Healthcare Center,Nursing Home,2020-04-17,40,*,1
2020-07-05,Pending Closure,Arlington,51013,Brookdale Assisted Living,Multicare,2020-03-28,49,10,0
2020-07-05,Outbreak Closed,Arlington,51013,Cherrydale Health & Rehabilitation Center,Multicare,2020-04-09,144,28,0
2020-07-05,Outbreak in Progress,Arlington,51013,Culpepper Garden,Assisted Living,2020-06-05,*,0,1
2020-07-05,Pending Closure,Arlington,51013,Manor Care Health Services - Arlington,Nursing Home,2020-04-08,86,17,0
2020-07-05,Pending Closure,Arlington,51013,Regency Care of Arlington,Nursing Home,2020-04-08,137,30,0
2020-07-05,Outbreak in Progress,Arlington,51013,Sunrise at Bluemont Park,Assisted Living,2020-05-15,14,*,1
2020-07-05,Pending Closure,Arlington,51013,Sunrise of Arlington,Assisted Living,2020-05-19,21,*,0
2020-07-05,Pending Closure,Arlington,51013,The Jefferson,Multicare,2020-04-04,38,9,0
2020-07-05,Pending Closure,Augusta,51015,Golden Gardens Residential Living,Assisted Living,2020-05-06,*,0,0
2020-07-05,Outbreak in Progress,Bedford,51019,Oakwood Manor Nursing Home,Nursing Home,2020-05-27,*,0,1
2020-07-05,Outbreak in Progress,Botetourt,51023,Carrington Place at Botetourt,Nursing Home,2020-06-24,13,0,1
2020-07-05,Pending Closure,Carroll,51035,Hillsville Health and Rehab,Nursing Home,2020-05-14,65,7,0
2020-07-05,Outbreak Closed,Chesapeake,51550,Autum Care of Chesapeake,Nursing Home,2020-04-13,39,*,0
2020-07-05,Outbreak Closed,Chesapeake,51550,Cedar Manor,Assisted Living,2020-04-17,16,*,0
2020-07-05,Outbreak in Progress,Chesapeake,51550,Chesapeake Health and Rehab Center,Nursing Home,2020-06-15,*,*,1
2020-07-05,Outbreak in Progress,Chesapeake,51550,Greenbrier Regional Medical Center,Nursing Home,2020-06-09,26,*,1
2020-07-05,Outbreak Closed,Chesapeake,51550,Harmony at Oakbrooke,Assisted Living,2020-04-29,11,*,0
2020-07-05,Outbreak Closed,Chesapeake,51550,Sentara Nursing Center - Chesapeake,Nursing Home,2020-04-23,*,0,0
2020-07-05,Outbreak Closed,Chesapeake,51550,Sentara Nursing Center - Chesapeake,Nursing Home,2020-04-05,5,0,0
2020-07-05,Outbreak in Progress,Chesapeake,51550,Virginia Home for Adults,Assisted Living,2020-06-15,*,0,1
2020-07-05,Outbreak Closed,Chesterfield,51041,Brandermill Woods,Multicare,2020-04-30,39,7,0
2020-07-05,Outbreak in Progress,Chesterfield,51041,Elmcroft of Chesterfield,Assisted Living,2020-06-24,*,0,1
2020-07-05,Outbreak Closed,Chesterfield,51041,Laurels of Bon Air,Nursing Home,2020-04-12,12,5,0
2020-07-05,Pending Closure,Chesterfield,51041,Laurels of Willow Creek,Nursing Home,2020-05-27,23,6,0
2020-07-05,Outbreak Closed,Chesterfield,51041,Lucy Corr Village,Assisted Living,2020-04-03,*,0,0
2020-07-05,Outbreak in Progress,Chesterfield,51041,Morningside of Bellgrade,Assisted Living,2020-04-14,31,8,1
2020-07-05,Outbreak Closed,Chesterfield,51041,Spring Arbor of Salisbury,Assisted Living,2020-04-02,37,7,0
2020-07-05,Pending Closure,Colonial Heights,51570,Colonial Heights Health Care Center,Nursing Home,2020-04-07,49,14,0
2020-07-05,Outbreak Closed,Colonial Heights,51570,Dunlop House,Assisted Living,2020-04-29,*,*,0
2020-07-05,Pending Closure,Danville,51590,Brookdale Danville Piedmont,Assisted Living,2020-04-16,*,*,0
2020-07-05,Outbreak in Progress,Dinwiddie,51053,Dinwiddie Health and Rehab Center,Nursing Home,2020-06-15,12,0,1
2020-07-05,Pending Closure,Emporia,51595,Accordius Health and Rehab,Nursing Home,2020-04-20,55,*,0
2020-07-05,Pending Closure,Emporia,51595,Emporia/Greensville Manor,Nursing Home,2020-05-30,10,*,0
2020-07-05,Outbreak Closed,Fairfax,51059,Aarondale Retirement and Assisted Living Community,Assisted Living,2020-04-09,*,0,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Annandale Healthcare Center,Nursing Home,2020-04-09,156,55,1
2020-07-05,Outbreak in Progress,Fairfax,51059,Arbor Terrace at Herndon,Assisted Living,2020-05-12,5,*,1
2020-07-05,Outbreak Closed,Fairfax,51059,Arbor Terrace Memory Care,Assisted Living,2020-04-15,19,8,0
2020-07-05,Outbreak Closed,Fairfax,51059,Arden Courts of Annandale,Assisted Living,2020-04-09,13,5,0
2020-07-05,Pending Closure,Fairfax,51059,Arden Courts of Fair Oaks,Assisted Living,2020-04-17,5,*,0
2020-07-05,Pending Closure,Fairfax,51059,Arleigh Burke Pavilion,Multicare,2020-04-15,46,7,0
2020-07-05,Pending Closure,Fairfax,51059,Bright View Woodburn,Assisted Living,2020-04-28,29,10,0
2020-07-05,Outbreak Closed,Fairfax,51059,Brightview of Great Falls,Assisted Living,2020-04-24,7,*,0
2020-07-05,Outbreak Closed,Fairfax,51059,Burke Health Care Center,Nursing Home,2020-04-09,129,22,0
2020-07-05,Pending Closure,Fairfax,51059,Chesterbrook Residences,Assisted Living,2020-04-07,31,7,0
2020-07-05,Outbreak Closed,Fairfax,51059,Dulles Health & Rehab,Nursing Home,2020-03-29,101,22,0
2020-07-05,Pending Closure,Fairfax,51059,Fairfax Nursing and Rehabilitation Center,Nursing Home,2020-04-17,71,12,0
2020-07-05,Pending Closure,Fairfax,51059,Gardens at Fair Oaks,Assisted Living,2020-05-21,14,*,0
2020-07-05,Pending Closure,Fairfax,51059,Goodwin House - Bailey's Crossroads,Multicare,2020-04-24,28,*,0
2020-07-05,Outbreak Closed,Fairfax,51059,Great Falls Assisted Living,Assisted Living,2020-04-17,19,6,0
2020-07-05,Pending Closure,Fairfax,51059,Greenspring Village Assisted Living,Multicare,2020-04-17,68,20,0
2020-07-05,Pending Closure,Fairfax,51059,Harmony at Chantilly,Assisted Living,2020-05-01,19,*,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Harmony at Spring Hill,Assisted Living,2020-05-12,*,0,1
2020-07-05,Pending Closure,Fairfax,51059,Heatherwood Retirement Community,Assisted Living,2020-04-11,50,11,0
2020-07-05,Pending Closure,Fairfax,51059,Hunter's Woods at Trails Edge,Multicare,2020-06-04,10,*,0
2020-07-05,Outbreak Closed,Fairfax,51059,Iliff Nursing and Rehabilitation Center,Nursing Home,2020-04-09,78,12,0
2020-07-05,Pending Closure,Fairfax,51059,Larmax Homes,Assisted Living,2020-04-17,17,*,0
2020-07-05,Outbreak Closed,Fairfax,51059,Leewood Healthcare Center,Multicare,2020-05-28,*,*,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Leewood Healthcare Center,Multicare,2020-04-09,114,35,1
2020-07-05,Outbreak in Progress,Fairfax,51059,ManorCare Health Services-Alexandria,Nursing Home,2020-04-24,79,7,1
2020-07-05,Pending Closure,Fairfax,51059,ManorCare Health Services-Fair Oaks,Nursing Home,2020-05-04,136,13,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,2020-04-09,79,15,1
2020-07-05,Outbreak Closed,Fairfax,51059,Powhatan Nursing Home,Nursing Home,2020-05-12,*,0,0
2020-07-05,Outbreak Closed,Fairfax,51059,Renaissance of Annandale,Assisted Living,2020-05-12,27,*,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Spring Hills Mount Vernon,Assisted Living,2020-05-12,*,0,1
2020-07-05,Outbreak Closed,Fairfax,51059,Stevenson's Place,Assisted Living,2020-06-04,*,0,0
2020-07-05,Outbreak Closed,Fairfax,51059,Sunrise Assisted Living of McLean,Assisted Living,2020-03-20,59,14,0
2020-07-05,Outbreak Closed,Fairfax,51059,Sunrise at Mount Vernon,Assisted Living,2020-04-07,16,*,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Sunrise of Hunter Mill,Assisted Living,2020-05-27,*,0,1
2020-07-05,Pending Closure,Fairfax,51059,Sunrise of Springfield,Assisted Living,2020-04-10,22,*,0
2020-07-05,Outbreak in Progress,Fairfax,51059,Sylvestery of Vinson Hall,Multicare,2020-05-27,8,0,1
2020-07-05,Pending Closure,Fairfax,51059,Tall Oaks,Assisted Living,2020-04-30,47,11,0
2020-07-05,Pending Closure,Fairfax,51059,The Fairfax at Belvoir Woods,Multicare,2020-04-24,11,*,0
2020-07-05,Outbreak in Progress,Fairfax,51059,The Kensington Falls Church,Assisted Living,2020-03-17,27,5,1
2020-07-05,Outbreak Closed,Fairfax,51059,The Lincolnian,Assisted Living,2020-04-24,26,*,0
2020-07-05,Pending Closure,Fairfax,51059,The Virginian Retirement Community,Multicare,2020-04-09,141,26,0
2020-07-05,Pending Closure,Fairfax,51059,Tysons Woods Assisted Living,Assisted Living,2020-05-20,10,*,0
2020-07-05,Pending Closure,Fluvanna,51065,Envoy at the Village,Nursing Home,2020-04-08,54,8,0
2020-07-05,Outbreak in Progress,Franklin City,51620,East Pavilion at Southampton Memorial,Nursing Home,2020-06-25,*,0,1
2020-07-05,Outbreak in Progress,Franklin City,51620,The Village at Manor Care,Assisted Living,2020-06-23,*,0,1
2020-07-05,Outbreak in Progress,Frederick,51069,Hilltop House,Assisted Living,2020-07-03,*,0,1
2020-07-05,Outbreak in Progress,Fredericksburg,51630,Poets Walk,Assisted Living,2020-06-03,15,0,1
2020-07-05,Outbreak in Progress,Galax,51640,Galax Health and Rehab,Nursing Home,2020-05-27,57,12,1
2020-07-05,Outbreak in Progress,Galax,51640,Waddell Nursing and Rehab,Nursing Home,2020-05-24,12,0,1
2020-07-05,Outbreak Closed,Hampton,51650,Hampton VA Hospital- LTC unit,Nursing Home,2020-04-01,37,0,0
