"Report Date",FIPS,Locality,"Facility Type",Status,Facility,"Date VDH Notified",Cases,Deaths,Active
07/03/2020,51001,Accomack,"Nursing Home","Outbreak in Progress","Shore Healthcare and Rehab Center",05/04/2020,12,0,1
07/03/2020,51003,Albemarle,"Assisted Living","Outbreak in Progress","Heritage Inn",06/30/2020,*,0,1
07/03/2020,51003,Albemarle,Multicare,"Outbreak Closed","Westminster Canterbury of The Blue Ridge NH",05/04/2020,*,0,0
07/03/2020,51003,Albemarle,Multicare,"Pending Closure","Our Lady of Peace",04/21/2020,56,9,0
07/03/2020,51013,Arlington,"Assisted Living","Outbreak in Progress","Culpepper Garden",06/05/2020,*,0,1
07/03/2020,51013,Arlington,"Assisted Living","Outbreak in Progress","Sunrise at Bluemont Park",05/15/2020,14,*,1
07/03/2020,51013,Arlington,"Assisted Living","Pending Closure","Sunrise of Arlington",05/19/2020,21,*,0
07/03/2020,51013,Arlington,Multicare,"Outbreak Closed","Cherrydale Health & Rehabilitation Center",04/09/2020,144,28,0
07/03/2020,51013,Arlington,Multicare,"Pending Closure","Brookdale Assisted Living",03/28/2020,49,10,0
07/03/2020,51013,Arlington,Multicare,"Pending Closure","The Jefferson",04/04/2020,38,9,0
07/03/2020,51013,Arlington,"Nursing Home","Pending Closure","Manor Care Health Services - Arlington",04/08/2020,87,17,0
07/03/2020,51013,Arlington,"Nursing Home","Pending Closure","Regency Care of Arlington",04/08/2020,137,30,0
07/03/2020,51015,Augusta,"Assisted Living","Pending Closure","Golden Gardens Residential Living",05/06/2020,*,0,0
07/03/2020,51019,Bedford,"Nursing Home","Outbreak in Progress","Oakwood Manor Nursing Home",05/27/2020,*,0,1
07/03/2020,51023,Botetourt,"Nursing Home","Outbreak in Progress","Carrington Place at Botetourt",06/24/2020,13,0,1
07/03/2020,51035,Carroll,"Nursing Home","Pending Closure","Hillsville Health and Rehab",05/14/2020,65,7,0
07/03/2020,51041,Chesterfield,"Assisted Living","Outbreak Closed","Lucy Corr Village",04/03/2020,*,0,0
07/03/2020,51041,Chesterfield,"Assisted Living","Outbreak Closed","Spring Arbor of Salisbury",04/02/2020,37,7,0
07/03/2020,51041,Chesterfield,"Assisted Living","Outbreak in Progress","Elmcroft of Chesterfield",06/24/2020,*,0,1
07/03/2020,51041,Chesterfield,"Assisted Living","Outbreak in Progress","Morningside of Bellgrade",04/14/2020,31,8,1
07/03/2020,51041,Chesterfield,Multicare,"Outbreak Closed","Brandermill Woods",04/30/2020,39,7,0
07/03/2020,51041,Chesterfield,"Nursing Home","Outbreak Closed","Laurels of Bon Air",04/12/2020,12,5,0
07/03/2020,51041,Chesterfield,"Nursing Home","Pending Closure","Laurels of Willow Creek",05/27/2020,23,6,0
07/03/2020,51053,Dinwiddie,"Nursing Home","Outbreak in Progress","Dinwiddie Health and Rehab Center",06/15/2020,12,0,1
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Aarondale Retirement and Assisted Living Community",04/09/2020,*,0,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Arbor Terrace Memory Care",04/15/2020,19,8,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Arden Courts of Annandale",04/09/2020,13,5,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Brightview of Great Falls",04/24/2020,7,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Great Falls Assisted Living",04/17/2020,19,6,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Renaissance of Annandale",05/12/2020,27,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Stevenson's Place",06/04/2020,*,0,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Sunrise Assisted Living of McLean",03/20/2020,59,14,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","Sunrise at Mount Vernon",04/07/2020,16,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak Closed","The Lincolnian",04/24/2020,26,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak in Progress","Arbor Terrace at Herndon",05/12/2020,5,*,1
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak in Progress","Harmony at Spring Hill",05/12/2020,*,0,1
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak in Progress","Heatherwood Retirement Community",04/11/2020,50,11,1
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak in Progress","Spring Hills Mount Vernon",05/12/2020,*,0,1
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak in Progress","Sunrise of Hunter Mill",05/27/2020,*,0,1
07/03/2020,51059,Fairfax,"Assisted Living","Outbreak in Progress","The Kensington Falls Church",03/17/2020,27,5,1
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Arden Courts of Fair Oaks",04/17/2020,5,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Bright View Woodburn",04/28/2020,29,10,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Chesterbrook Residences",04/07/2020,31,7,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Gardens at Fair Oaks",05/21/2020,14,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Harmony at Chantilly",05/01/2020,19,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Larmax Homes",04/17/2020,17,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Sunrise of Springfield",04/10/2020,22,*,0
07/03/2020,51059,Fairfax,"Assisted Living","Pending Closure","Tall Oaks",04/30/2020,47,11,0
