Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS,Report Date
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak Closed,2020-05-04,15,0,0,51001,2020-09-17
Albemarle,Albemarle Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-10,7,0,1,51003,2020-09-17
Albemarle,Charlottesville Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-08-04,17,0,0,51003,2020-09-17
Albemarle,Heritage Inn,Assisted Living,Outbreak Pending Closure,2020-06-30,53,5,0,51003,2020-09-17
Albemarle,Monroe Health & Rehabilitation Center,Multicare,Outbreak in Progress,2020-08-18,8,0,1,51003,2020-09-17
Albemarle,Our Lady of Peace,Multicare,Outbreak Pending Closure,2020-04-21,56,10,0,51003,2020-09-17
Albemarle,The Colonnades,Nursing Home,Outbreak in Progress,2020-08-14,8,0,1,51003,2020-09-17
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0,0,51003,2020-09-17
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-08-14,*,*,0,51003,2020-09-17
Alexandria,Envoy of Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-03,56,10,0,51510,2020-09-17
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak in Progress,2020-06-30,14,0,1,51510,2020-09-17
Alexandria,Hermitage in Northern Virginia,Multicare,Outbreak Pending Closure,2020-04-16,30,5,0,51510,2020-09-17
Alexandria,Silverado,Assisted Living,Outbreak Pending Closure,2020-04-11,31,10,0,51510,2020-09-17
Alexandria,Sunrise of Alexandria,Assisted Living,Outbreak in Progress,2020-04-30,24,5,1,51510,2020-09-17
Alexandria,The Fountains at Washington House,Multicare,Outbreak Pending Closure,2020-04-24,29,*,0,51510,2020-09-17
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-17,60,5,0,51510,2020-09-17
Amelia,Wellspring at Amelia,Nursing Home,Outbreak in Progress,2020-07-17,29,*,1,51007,2020-09-17
Amherst,Fairmont Crossing Rehabilitation & Healthcare,Nursing Home,Outbreak in Progress,2020-07-29,5,0,1,51009,2020-09-17
Appomattox,Appomattox Health and Rehab,Multicare,Outbreak in Progress,2020-07-29,*,0,1,51011,2020-09-17
Arlington,Brookdale Assisted Living,Multicare,Outbreak Closed,2020-03-28,49,10,0,51013,2020-09-17
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,144,28,0,51013,2020-09-17
Arlington,Culpepper Garden,Assisted Living,Outbreak Closed,2020-06-05,*,0,0,51013,2020-09-17
Arlington,Manor Care Health Services - Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,86,18,0,51013,2020-09-17
Arlington,Regency Care of Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,137,30,0,51013,2020-09-17
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak Pending Closure,2020-05-15,17,*,0,51013,2020-09-17
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-08-19,26,*,1,51013,2020-09-17
Arlington,Sunrise of Arlington,Assisted Living,Outbreak Pending Closure,2020-05-19,21,*,0,51013,2020-09-17
Arlington,Sunrise of Arlington,Assisted Living,Outbreak Pending Closure,2020-08-05,*,0,0,51013,2020-09-17
Arlington,The Jefferson,Multicare,Outbreak Pending Closure,2020-04-04,38,9,0,51013,2020-09-17
Augusta,Golden Gardens Residential Living,Assisted Living,Outbreak Pending Closure,2020-05-06,*,0,0,51015,2020-09-17
Bedford,Bedford County Nursing Home,Nursing Home,Outbreak Pending Closure,2020-08-20,10,*,0,51019,2020-09-17
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak Pending Closure,2020-05-27,9,*,0,51019,2020-09-17
Bland,Bland County Nursing and Rehab,Multicare,Outbreak in Progress,2020-08-10,28,*,1,51021,2020-09-17
Botetourt,Carrington Place at Botetourt,Nursing Home,Outbreak Pending Closure,2020-06-24,23,5,0,51023,2020-09-17
Botetourt,The Glebe Retirement Community,Multicare,Outbreak in Progress,2020-08-25,7,0,1,51023,2020-09-17
Bristol,NHC Healthcare,Nursing Home,Outbreak in Progress,2020-08-10,*,0,1,51520,2020-09-17
Bristol,Rehab Center and Memory Care of Bristol,Assisted Living,Outbreak in Progress,2020-08-04,64,*,1,51520,2020-09-17
Carroll,Commonwealth Assisted Living at Hillsville,Assisted Living,Outbreak in Progress,2020-08-14,42,*,1,51035,2020-09-17
Carroll,Hillsville Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-05-14,65,9,0,51035,2020-09-17
Charlottesville,Cedars Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-07-10,142,9,0,51540,2020-09-17
Chesapeake,Autum Care of Chesapeake,Nursing Home,Outbreak Pending Closure,2020-04-13,41,5,0,51550,2020-09-17
Chesapeake,Cedar Manor,Assisted Living,Outbreak Closed,2020-04-17,16,*,0,51550,2020-09-17
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak Closed,2020-06-15,13,*,0,51550,2020-09-17
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-07-22,20,0,0,51550,2020-09-17
Chesapeake,Chesapeake Place ALF,Assisted Living,Outbreak in Progress,2020-07-21,8,0,1,51550,2020-09-17
Chesapeake,Commonwealth Memory Care,Assisted Living,Outbreak Pending Closure,2020-07-16,15,*,0,51550,2020-09-17
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak Pending Closure,2020-06-09,51,9,0,51550,2020-09-17
Chesapeake,Harmony at Oakbrooke,Assisted Living,Outbreak Closed,2020-04-29,11,*,0,51550,2020-09-17
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,*,0,0,51550,2020-09-17
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,5,0,0,51550,2020-09-17
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Pending Closure,2020-07-24,6,*,0,51550,2020-09-17
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak in Progress,2020-08-11,6,*,1,51550,2020-09-17
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak Pending Closure,2020-06-15,*,0,0,51550,2020-09-17
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak Pending Closure,2020-08-11,5,0,0,51550,2020-09-17
Chesterfield,Auburn Hill Senior Living,Assisted Living,Outbreak in Progress,2020-08-10,*,0,1,51041,2020-09-17
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,41,7,0,51041,2020-09-17
Chesterfield,Elmcroft of Chesterfield,Assisted Living,Outbreak in Progress,2020-06-24,*,0,1,51041,2020-09-17
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,12,5,0,51041,2020-09-17
Chesterfield,Laurels of Willow Creek,Nursing Home,Outbreak Pending Closure,2020-05-27,28,8,0,51041,2020-09-17
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,*,0,0,51041,2020-09-17
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak Pending Closure,2020-04-14,33,10,0,51041,2020-09-17
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,37,7,0,51041,2020-09-17
Chesterfield,The Crossings at Bon Air,Assisted Living,Outbreak in Progress,2020-07-22,*,0,1,51041,2020-09-17
Chesterfield,The Memory Center of Richmond,Assisted Living,Outbreak in Progress,2020-08-05,*,0,1,51041,2020-09-17
Chesterfield,Tyler's Retreat at Iron Bridge,Nursing Home,Outbreak in Progress,2020-08-05,*,0,1,51041,2020-09-17
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Outbreak Pending Closure,2020-04-07,53,16,0,51570,2020-09-17
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,5,*,0,51570,2020-09-17
Culpeper,Culpeper Health and Rehab,Nursing Home,Outbreak Pending Closure,2020-07-21,27,*,0,51047,2020-09-17
Danville,Brookdale Danville Piedmont,Assisted Living,Outbreak in Progress,2020-09-06,*,0,1,51590,2020-09-17
Danville,Brookdale Danville Piedmont,Assisted Living,Outbreak Pending Closure,2020-04-16,*,*,0,51590,2020-09-17
Danville,Riverside Health and Rehabilitation Center,Multicare,Outbreak in Progress,2020-07-13,49,6,1,51590,2020-09-17
Danville,Roman Eagle Memorial Home,Nursing Home,Outbreak in Progress,2020-07-20,53,*,1,51590,2020-09-17
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak Pending Closure,2020-06-15,16,*,0,51053,2020-09-17
Emporia,Accordius Health and Rehab,Nursing Home,Outbreak Closed,2020-04-20,55,13,0,51595,2020-09-17
Emporia,Emporia/Greensville Manor,Nursing Home,Outbreak Pending Closure,2020-05-30,46,5,0,51595,2020-09-17
Emporia,Eugene H Bloom Retirement Center,Assisted Living,Outbreak in Progress,2020-07-06,*,0,1,51595,2020-09-17
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Closed,2020-04-09,*,*,0,51059,2020-09-17
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Pending Closure,2020-08-27,*,*,0,51059,2020-09-17
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-09,156,55,0,51059,2020-09-17
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak in Progress,2020-05-12,5,*,1,51059,2020-09-17
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,19,8,0,51059,2020-09-17
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,13,5,0,51059,2020-09-17
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Outbreak Pending Closure,2020-04-17,5,*,0,51059,2020-09-17
Fairfax,Arleigh Burke Pavilion,Multicare,Outbreak Pending Closure,2020-04-15,46,8,0,51059,2020-09-17
Fairfax,Bright View Woodburn,Assisted Living,Outbreak Pending Closure,2020-04-28,29,10,0,51059,2020-09-17
Fairfax,Brightview of Great Falls,Assisted Living,Outbreak Closed,2020-04-24,7,*,0,51059,2020-09-17
Fairfax,Brightview Woodburn,Multicare,Outbreak in Progress,2020-09-11,*,*,1,51059,2020-09-17
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,129,24,0,51059,2020-09-17
