Report Date,FIPS,Locality,Facility Type,Status,Facility,Date VDH Notified,Cases,Deaths,Active
2020-09-23,51001,Accomack,Nursing Home,Outbreak Closed,Shore Healthcare and Rehab Center,2020-05-04,15,0,0
2020-09-23,51003,Albemarle,Nursing Home,Outbreak in Progress,Albemarle Health and Rehabilitation Center,2020-07-10,7,0,1
2020-09-23,51003,Albemarle,Nursing Home,Outbreak Pending Closure,Charlottesville Health and Rehab Center,2020-08-04,17,0,0
2020-09-23,51003,Albemarle,Assisted Living,Outbreak Pending Closure,Heritage Inn,2020-06-30,60,5,0
2020-09-23,51003,Albemarle,Multicare,Outbreak in Progress,Monroe Health & Rehabilitation Center,2020-08-18,8,0,1
2020-09-23,51003,Albemarle,Multicare,Outbreak Pending Closure,Our Lady of Peace,2020-04-21,66,10,0
2020-09-23,51003,Albemarle,Nursing Home,Outbreak in Progress,The Colonnades,2020-08-14,8,0,1
2020-09-23,51003,Albemarle,Multicare,Outbreak Closed,Westminster Canterbury of The Blue Ridge NH,2020-05-04,*,0,0
2020-09-23,51003,Albemarle,Multicare,Outbreak Closed,Westminster Canterbury of The Blue Ridge NH,2020-08-14,*,*,0
2020-09-23,51510,Alexandria,Nursing Home,Outbreak Pending Closure,Envoy of Alexandria,2020-04-03,57,10,0
2020-09-23,51510,Alexandria,Assisted Living,Outbreak Pending Closure,Goodwin House - Alexandria,2020-06-30,14,0,0
2020-09-23,51510,Alexandria,Multicare,Outbreak Pending Closure,Hermitage in Northern Virginia,2020-04-16,30,5,0
2020-09-23,51510,Alexandria,Assisted Living,Outbreak Pending Closure,Silverado,2020-04-11,31,10,0
2020-09-23,51510,Alexandria,Assisted Living,Outbreak in Progress,Sunrise of Alexandria,2020-04-30,25,5,1
2020-09-23,51510,Alexandria,Multicare,Outbreak Pending Closure,The Fountains at Washington House,2020-04-24,29,*,0
2020-09-23,51510,Alexandria,Nursing Home,Outbreak Pending Closure,Woodbine Rehabilitation & Healthcare Center,2020-04-17,60,6,0
2020-09-23,51007,Amelia,Nursing Home,Outbreak Pending Closure,Wellspring at Amelia,2020-07-17,29,*,0
2020-09-23,51009,Amherst,Nursing Home,Outbreak in Progress,Fairmont Crossing Rehabilitation & Healthcare,2020-07-29,5,0,1
2020-09-23,51011,Appomattox,Multicare,Outbreak in Progress,Appomattox Health and Rehab,2020-07-29,*,0,1
2020-09-23,51013,Arlington,Multicare,Outbreak Closed,Brookdale Assisted Living,2020-03-28,49,10,0
2020-09-23,51013,Arlington,Multicare,Outbreak Closed,Cherrydale Health & Rehabilitation Center,2020-04-09,144,28,0
2020-09-23,51013,Arlington,Assisted Living,Outbreak Closed,Culpepper Garden,2020-06-05,*,0,0
2020-09-23,51013,Arlington,Nursing Home,Outbreak Pending Closure,Manor Care Health Services - Arlington,2020-04-08,86,18,0
2020-09-23,51013,Arlington,Nursing Home,Outbreak Pending Closure,Regency Care of Arlington,2020-04-08,137,30,0
2020-09-23,51013,Arlington,Assisted Living,Outbreak Pending Closure,Sunrise at Bluemont Park,2020-05-15,17,*,0
2020-09-23,51013,Arlington,Assisted Living,Outbreak in Progress,Sunrise at Bluemont Park,2020-08-19,26,*,1
2020-09-23,51013,Arlington,Assisted Living,Outbreak Pending Closure,Sunrise of Arlington,2020-05-19,21,*,0
2020-09-23,51013,Arlington,Assisted Living,Outbreak Pending Closure,Sunrise of Arlington,2020-08-05,*,0,0
2020-09-23,51013,Arlington,Multicare,Outbreak Pending Closure,The Jefferson,2020-04-04,38,9,0
2020-09-23,51015,Augusta,Assisted Living,Outbreak Pending Closure,Golden Gardens Residential Living,2020-05-06,*,0,0
2020-09-23,51019,Bedford,Nursing Home,Outbreak in Progress,Bedford County Nursing Home,2020-08-20,11,*,1
2020-09-23,51019,Bedford,Nursing Home,Outbreak Pending Closure,Oakwood Manor Nursing Home,2020-05-27,11,*,0
2020-09-23,51021,Bland,Multicare,Outbreak in Progress,Bland County Nursing and Rehab,2020-08-10,33,*,1
2020-09-23,51023,Botetourt,Nursing Home,Outbreak Pending Closure,Carrington Place at Botetourt,2020-06-24,23,5,0
2020-09-23,51023,Botetourt,Multicare,Outbreak in Progress,The Glebe Retirement Community,2020-08-25,7,0,1
2020-09-23,51520,Bristol,Nursing Home,Outbreak in Progress,NHC Healthcare,2020-08-10,*,0,1
2020-09-23,51520,Bristol,Assisted Living,Outbreak in Progress,Rehab Center and Memory Care of Bristol,2020-08-04,78,*,1
2020-09-23,51035,Carroll,Assisted Living,Outbreak in Progress,Commonwealth Assisted Living at Hillsville,2020-08-14,46,*,1
2020-09-23,51035,Carroll,Nursing Home,Outbreak Pending Closure,Hillsville Health and Rehab,2020-05-14,65,9,0
2020-09-23,51540,Charlottesville,Nursing Home,Outbreak Pending Closure,Cedars Healthcare Center,2020-07-10,142,9,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Pending Closure,Autum Care of Chesapeake,2020-04-13,41,5,0
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak Closed,Cedar Manor,2020-04-17,16,*,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Closed,Chesapeake Health and Rehab Center,2020-06-15,13,*,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Pending Closure,Chesapeake Health and Rehab Center,2020-07-22,20,*,0
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak in Progress,Chesapeake Place ALF,2020-07-21,8,0,1
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak in Progress,Chesapeake Place ALF,2020-09-18,6,0,1
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak Pending Closure,Commonwealth Memory Care,2020-07-16,15,*,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Pending Closure,Greenbrier Regional Medical Center,2020-06-09,51,9,0
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak Closed,Harmony at Oakbrooke,2020-04-29,11,*,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Closed,Sentara Nursing Center - Chesapeake,2020-04-23,*,0,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Closed,Sentara Nursing Center - Chesapeake,2020-04-05,5,0,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak Pending Closure,Sentara Nursing Center - Chesapeake,2020-07-24,6,*,0
2020-09-23,51550,Chesapeake,Nursing Home,Outbreak in Progress,Sentara Nursing Center - Chesapeake,2020-08-11,6,*,1
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak Pending Closure,Virginia Home for Adults,2020-06-15,*,0,0
2020-09-23,51550,Chesapeake,Assisted Living,Outbreak Pending Closure,Virginia Home for Adults,2020-08-11,5,0,0
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak in Progress,Auburn Hill Senior Living,2020-08-10,*,0,1
2020-09-23,51041,Chesterfield,Multicare,Outbreak Closed,Brandermill Woods,2020-04-30,41,7,0
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak in Progress,Elmcroft of Chesterfield,2020-06-24,*,0,1
2020-09-23,51041,Chesterfield,Nursing Home,Outbreak Closed,Laurels of Bon Air,2020-04-12,12,5,0
2020-09-23,51041,Chesterfield,Nursing Home,Outbreak Pending Closure,Laurels of Willow Creek,2020-05-27,28,8,0
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak Closed,Lucy Corr Village,2020-04-03,*,0,0
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak Pending Closure,Morningside of Bellgrade,2020-04-14,33,10,0
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak Closed,Spring Arbor of Salisbury,2020-04-02,37,7,0
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak in Progress,The Crossings at Bon Air,2020-07-22,*,0,1
2020-09-23,51041,Chesterfield,Assisted Living,Outbreak in Progress,The Memory Center of Richmond,2020-08-05,*,0,1
2020-09-23,51041,Chesterfield,Nursing Home,Outbreak in Progress,Tyler's Retreat at Iron Bridge,2020-08-05,*,0,1
2020-09-23,51570,Colonial Heights,Nursing Home,Outbreak Pending Closure,Colonial Heights Health Care Center,2020-04-07,53,17,0
2020-09-23,51570,Colonial Heights,Assisted Living,Outbreak Closed,Dunlop House,2020-04-29,5,*,0
2020-09-23,51047,Culpeper,Nursing Home,Outbreak Pending Closure,Culpeper Health and Rehab,2020-07-21,27,*,0
2020-09-23,51590,Danville,Assisted Living,Outbreak in Progress,Brookdale Danville Piedmont,2020-09-06,*,0,1
2020-09-23,51590,Danville,Assisted Living,Outbreak Pending Closure,Brookdale Danville Piedmont,2020-04-16,*,*,0
2020-09-23,51590,Danville,Multicare,Outbreak in Progress,Riverside Health and Rehabilitation Center,2020-07-13,80,9,1
2020-09-23,51590,Danville,Nursing Home,Outbreak in Progress,Roman Eagle Memorial Home,2020-07-20,83,7,1
2020-09-23,51053,Dinwiddie,Nursing Home,Outbreak Pending Closure,Dinwiddie Health and Rehab Center,2020-06-15,16,*,0
2020-09-23,51595,Emporia,Nursing Home,Outbreak Closed,Accordius Health and Rehab,2020-04-20,55,13,0
2020-09-23,51595,Emporia,Nursing Home,Outbreak in Progress,Emporia/Greensville Manor,2020-05-30,47,7,1
2020-09-23,51595,Emporia,Assisted Living,Outbreak in Progress,Eugene H Bloom Retirement Center,2020-07-06,*,0,1
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Closed,Aarondale Retirement and Assisted Living Community,2020-04-09,*,*,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Pending Closure,Aarondale Retirement and Assisted Living Community,2020-08-27,*,*,0
2020-09-23,51059,Fairfax,Nursing Home,Outbreak Pending Closure,Annandale Healthcare Center,2020-04-09,156,55,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak in Progress,Arbor Terrace at Herndon,2020-05-12,5,*,1
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Closed,Arbor Terrace Memory Care,2020-04-15,19,8,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Closed,Arden Courts of Annandale,2020-04-09,13,5,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Pending Closure,Arden Courts of Fair Oaks,2020-04-17,5,*,0
2020-09-23,51059,Fairfax,Multicare,Outbreak Pending Closure,Arleigh Burke Pavilion,2020-04-15,46,8,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Pending Closure,Bright View Woodburn,2020-04-28,29,10,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Closed,Brightview of Great Falls,2020-04-24,7,*,0
2020-09-23,51059,Fairfax,Multicare,Outbreak Pending Closure,Brightview Woodburn,2020-09-11,*,*,0
2020-09-23,51059,Fairfax,Nursing Home,Outbreak Closed,Burke Health Care Center,2020-04-09,129,24,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Pending Closure,Chesterbrook Residences,2020-04-07,31,7,0
2020-09-23,51059,Fairfax,Nursing Home,Outbreak Closed,Dulles Health & Rehab,2020-03-29,101,23,0
2020-09-23,51059,Fairfax,Nursing Home,Outbreak Pending Closure,Fairfax Nursing and Rehabilitation Center,2020-04-17,71,14,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Pending Closure,Gardens at Fair Oaks,2020-05-21,14,*,0
2020-09-23,51059,Fairfax,Multicare,Outbreak Pending Closure,Goodwin House - Bailey's Crossroads,2020-04-24,28,*,0
2020-09-23,51059,Fairfax,Assisted Living,Outbreak Closed,Great Falls Assisted Living,2020-04-17,19,6,0
2020-09-23,51059,Fairfax,Multicare,Outbreak Pending Closure,Greenspring Village Assisted Living,2020-04-17,68,20,0
