"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-09,Southside,441,53,31
2020-07-09,Chesapeake,1117,155,22
2020-07-09,"Thomas Jefferson",1123,101,29
2020-07-09,Roanoke,542,14,10
2020-07-09,"Eastern Shore",1314,113,42
2020-07-09,"Mount Rogers",797,77,35
2020-07-09,Chickahominy,691,112,41
2020-07-09,"New River",274,23,6
2020-07-09,"Central Virginia",447,16,6
2020-07-09,Piedmont,1100,97,17
2020-07-09,"Lord Fairfax",2128,188,74
2020-07-09,Crater,1661,164,48
2020-07-09,Hampton,424,40,4
2020-07-09,Alexandria,2419,244,57
2020-07-09,Fairfax,14409,1717,511
2020-07-09,Richmond,2333,236,33
2020-07-09,Arlington,2567,423,132
2020-07-09,"Rappahannock Rapidan",1529,114,24
2020-07-09,Rappahannock,2596,241,45
2020-07-09,Pittsylvania-Danville,248,43,3
2020-07-09,"Prince William",9602,847,179
2020-07-09,"Cumberland Plateau",81,2,0
2020-07-09,Portsmouth,605,82,18
2020-07-09,"Virginia Beach",1547,130,30
2020-07-09,"West Piedmont",588,53,8
2020-07-09,"Three Rivers",707,55,10
2020-07-09,Alleghany,588,31,15
2020-07-09,Lenowisco,64,17,4
2020-07-09,Norfolk,1289,120,14
2020-07-09,"Western Tidewater",947,95,61
2020-07-09,Henrico,2725,265,169
2020-07-09,"Central Shenandoah",2201,176,42
2020-07-09,Loudoun,4319,286,99
2020-07-09,Chesterfield,3345,167,83
2020-07-09,Peninsula,1220,128,35
