"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-21,Southside,550,60,32
2020-07-21,Chesapeake,1790,174,24
2020-07-21,"Thomas Jefferson",1440,116,30
2020-07-21,Roanoke,665,15,10
2020-07-21,"Eastern Shore",1338,118,43
2020-07-21,"Mount Rogers",984,95,36
2020-07-21,Chickahominy,812,116,40
2020-07-21,"New River",348,25,6
2020-07-21,"Central Virginia",670,18,6
2020-07-21,Piedmont,1185,114,19
2020-07-21,"Lord Fairfax",2344,205,82
2020-07-21,Crater,1873,191,50
2020-07-21,Hampton,751,43,4
2020-07-21,Alexandria,2582,255,56
2020-07-21,Fairfax,15121,1813,523
2020-07-21,Richmond,2623,254,35
2020-07-21,Arlington,2750,431,135
2020-07-21,"Rappahannock Rapidan",1715,127,25
2020-07-21,Rappahannock,2877,258,47
2020-07-21,Pittsylvania-Danville,428,56,5
2020-07-21,"Prince William",10248,889,191
2020-07-21,"Cumberland Plateau",143,10,0
2020-07-21,Portsmouth,1046,101,21
2020-07-21,"Virginia Beach",2829,154,38
2020-07-21,"West Piedmont",735,79,9
2020-07-21,"Three Rivers",886,61,12
2020-07-21,Alleghany,717,37,15
2020-07-21,Lenowisco,133,22,5
2020-07-21,Norfolk,2329,145,21
2020-07-21,"Western Tidewater",1363,112,69
2020-07-21,Henrico,3097,291,177
2020-07-21,"Central Shenandoah",2443,192,49
2020-07-21,Loudoun,4695,324,106
2020-07-21,Chesterfield,3810,217,88
2020-07-21,Peninsula,2051,149,39
