Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-22,Lenowisco,32,10,2
2020-04-22,Chesterfield,402,30,9
2020-04-22,Portsmouth,93,30,4
2020-04-22,Western Tidewater,249,39,6
2020-04-22,Cumberland Plateau,18,1,0
2020-04-22,Prince William,1075,122,18
2020-04-22,Hampton,97,26,1
2020-04-22,Southside,94,21,1
2020-04-22,Henrico,684,96,82
2020-04-22,Alexandria,474,65,12
2020-04-22,Chickahominy,191,35,11
2020-04-22,New River,66,8,0
2020-04-22,Fairfax,2306,409,68
2020-04-22,Lord Fairfax,217,21,0
2020-04-22,Rappahannock Rapidan,164,18,2
2020-04-22,Pittsylvania-Danville,38,17,2
2020-04-22,Crater,139,26,9
2020-04-22,Virginia Beach,313,60,8
2020-04-22,Richmond,250,41,10
2020-04-22,Norfolk,126,29,3
2020-04-22,Thomas Jefferson,234,46,10
2020-04-22,Eastern Shore,67,16,1
2020-04-22,West Piedmont,28,4,1
2020-04-22,Piedmont,90,16,3
2020-04-22,Peninsula,311,96,20
2020-04-22,Alleghany,73,13,3
2020-04-22,Chesapeake,180,39,5
2020-04-22,Rappahannock,310,75,9
2020-04-22,Three Rivers,104,10,1
2020-04-22,Central Shenandoah,525,36,9
2020-04-22,Mount Rogers,58,15,4
2020-04-22,Loudoun,475,61,9
2020-04-22,Central Virginia,93,7,2
2020-04-22,Roanoke,27,5,0
2020-04-22,Arlington,663,116,24
