Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-18,Alexandria,354,40,7
2020-04-18,Alleghany,56,10,2
2020-04-18,Arlington,520,54,17
2020-04-18,Central Shenandoah,380,23,1
2020-04-18,Central Virginia,81,7,2
2020-04-18,Chesapeake,154,37,4
2020-04-18,Chesterfield,342,26,7
2020-04-18,Chickahominy,162,25,7
2020-04-18,Crater,111,14,7
2020-04-18,Cumberland Plateau,18,1,0
2020-04-18,Eastern Shore,38,12,1
2020-04-18,Fairfax,1636,309,43
2020-04-18,Hampton,79,21,1
2020-04-18,Henrico,559,83,71
2020-04-18,Lenowisco,30,10,2
2020-04-18,Lord Fairfax,188,18,0
2020-04-18,Loudoun,413,47,7
2020-04-18,Mount Rogers,52,14,4
2020-04-18,New River,56,8,0
2020-04-18,Norfolk,109,27,2
2020-04-18,Peninsula,304,90,16
2020-04-18,Piedmont,82,14,2
2020-04-18,Pittsylvania-Danville,30,17,1
2020-04-18,Portsmouth,65,24,4
2020-04-18,Prince William,803,88,15
2020-04-18,Rappahannock,261,68,5
2020-04-18,Rappahannock Rapidan,104,15,2
2020-04-18,Richmond,211,34,9
2020-04-18,Roanoke,24,4,0
2020-04-18,Southside,84,18,1
2020-04-18,Thomas Jefferson,209,41,6
2020-04-18,Three Rivers,57,7,1
2020-04-18,Virginia Beach,271,58,7
2020-04-18,West Piedmont,25,3,1
2020-04-18,Western Tidewater,185,29,3
