"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-10,Southside,452,54,31
2020-07-10,Chesapeake,1162,156,22
2020-07-10,"Thomas Jefferson",1144,102,29
2020-07-10,Roanoke,552,14,10
2020-07-10,"Eastern Shore",1315,113,42
2020-07-10,"Mount Rogers",807,77,35
2020-07-10,Chickahominy,700,113,41
2020-07-10,"New River",282,23,6
2020-07-10,"Central Virginia",461,16,6
2020-07-10,Piedmont,1110,103,18
2020-07-10,"Lord Fairfax",2136,189,75
2020-07-10,Crater,1671,165,49
2020-07-10,Hampton,454,40,4
2020-07-10,Alexandria,2439,247,57
2020-07-10,Fairfax,14479,1718,513
2020-07-10,Richmond,2361,237,35
2020-07-10,Arlington,2582,425,133
2020-07-10,"Rappahannock Rapidan",1547,116,24
2020-07-10,Rappahannock,2628,244,45
2020-07-10,Pittsylvania-Danville,252,43,4
2020-07-10,"Prince William",9669,848,180
2020-07-10,"Cumberland Plateau",86,4,0
2020-07-10,Portsmouth,627,83,18
2020-07-10,"Virginia Beach",1663,133,30
2020-07-10,"West Piedmont",599,56,8
2020-07-10,"Three Rivers",760,58,13
2020-07-10,Alleghany,600,31,15
2020-07-10,Lenowisco,68,17,4
2020-07-10,Norfolk,1360,123,15
2020-07-10,"Western Tidewater",980,96,64
2020-07-10,Henrico,2784,268,172
2020-07-10,"Central Shenandoah",2225,177,42
2020-07-10,Loudoun,4349,288,99
2020-07-10,Chesterfield,3374,170,84
2020-07-10,Peninsula,1253,128,35
