"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-07,Southside,433,51,30
2020-07-07,Chesapeake,1046,154,22
2020-07-07,"Thomas Jefferson",1063,101,29
2020-07-07,Roanoke,502,14,10
2020-07-07,"Eastern Shore",1314,113,42
2020-07-07,"Mount Rogers",781,75,33
2020-07-07,Chickahominy,683,110,41
2020-07-07,"New River",268,22,5
2020-07-07,"Central Virginia",444,16,6
2020-07-07,Piedmont,1076,90,14
2020-07-07,"Lord Fairfax",2106,186,74
2020-07-07,Crater,1640,161,40
2020-07-07,Hampton,390,41,5
2020-07-07,Alexandria,2399,241,57
2020-07-07,Fairfax,14317,1698,510
2020-07-07,Richmond,2301,228,29
2020-07-07,Arlington,2550,422,131
2020-07-07,"Rappahannock Rapidan",1509,113,23
2020-07-07,Rappahannock,2559,232,44
2020-07-07,Pittsylvania-Danville,238,43,3
2020-07-07,"Prince William",9543,844,172
2020-07-07,"Cumberland Plateau",75,2,0
2020-07-07,Portsmouth,572,75,18
2020-07-07,"Virginia Beach",1455,124,30
2020-07-07,"West Piedmont",551,46,8
2020-07-07,"Three Rivers",670,52,10
2020-07-07,Alleghany,572,31,15
2020-07-07,Lenowisco,63,17,4
2020-07-07,Norfolk,1162,116,12
2020-07-07,"Western Tidewater",892,91,57
2020-07-07,Henrico,2708,265,163
2020-07-07,"Central Shenandoah",2166,172,41
2020-07-07,Loudoun,4252,280,93
2020-07-07,Chesterfield,3296,159,76
2020-07-07,Peninsula,1144,127,34
