"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-19,Southside,533,60,32
2020-07-19,Chesapeake,1685,164,24
2020-07-19,"Thomas Jefferson",1376,116,29
2020-07-19,Roanoke,637,15,10
2020-07-19,"Eastern Shore",1330,116,43
2020-07-19,"Mount Rogers",957,89,36
2020-07-19,Chickahominy,784,115,40
2020-07-19,"New River",343,25,6
2020-07-19,"Central Virginia",595,17,6
2020-07-19,Piedmont,1164,114,19
2020-07-19,"Lord Fairfax",2310,202,80
2020-07-19,Crater,1849,188,50
2020-07-19,Hampton,701,42,4
2020-07-19,Alexandria,2547,255,56
2020-07-19,Fairfax,15005,1810,522
2020-07-19,Richmond,2563,250,36
2020-07-19,Arlington,2733,430,135
2020-07-19,"Rappahannock Rapidan",1686,125,25
2020-07-19,Rappahannock,2828,256,46
2020-07-19,Pittsylvania-Danville,405,52,4
2020-07-19,"Prince William",10151,884,189
2020-07-19,"Cumberland Plateau",135,9,0
2020-07-19,Portsmouth,966,96,20
2020-07-19,"Virginia Beach",2610,148,37
2020-07-19,"West Piedmont",699,78,8
2020-07-19,"Three Rivers",855,61,11
2020-07-19,Alleghany,704,37,15
2020-07-19,Lenowisco,113,21,5
2020-07-19,Norfolk,2155,140,19
2020-07-19,"Western Tidewater",1280,109,68
2020-07-19,Henrico,3037,284,175
2020-07-19,"Central Shenandoah",2410,190,48
2020-07-19,Loudoun,4647,317,103
2020-07-19,Chesterfield,3713,206,88
2020-07-19,Peninsula,1924,144,38
