"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-20,Southside,542,60,32
2020-07-20,Chesapeake,1758,169,24
2020-07-20,"Thomas Jefferson",1414,116,29
2020-07-20,Roanoke,659,15,10
2020-07-20,"Eastern Shore",1332,117,43
2020-07-20,"Mount Rogers",972,92,36
2020-07-20,Chickahominy,790,115,40
2020-07-20,"New River",348,25,6
2020-07-20,"Central Virginia",636,17,6
2020-07-20,Piedmont,1177,114,19
2020-07-20,"Lord Fairfax",2339,204,80
2020-07-20,Crater,1860,189,50
2020-07-20,Hampton,723,43,4
2020-07-20,Alexandria,2559,255,56
2020-07-20,Fairfax,15062,1812,522
2020-07-20,Richmond,2588,252,36
2020-07-20,Arlington,2737,430,135
2020-07-20,"Rappahannock Rapidan",1694,127,25
2020-07-20,Rappahannock,2843,256,46
2020-07-20,Pittsylvania-Danville,428,56,5
2020-07-20,"Prince William",10193,884,189
2020-07-20,"Cumberland Plateau",139,10,0
2020-07-20,Portsmouth,1009,97,20
2020-07-20,"Virginia Beach",2720,149,37
2020-07-20,"West Piedmont",699,78,8
2020-07-20,"Three Rivers",873,61,12
2020-07-20,Alleghany,715,37,15
2020-07-20,Lenowisco,119,21,5
2020-07-20,Norfolk,2214,142,20
2020-07-20,"Western Tidewater",1331,112,68
2020-07-20,Henrico,3058,285,175
2020-07-20,"Central Shenandoah",2430,192,48
2020-07-20,Loudoun,4670,317,103
2020-07-20,Chesterfield,3739,207,88
2020-07-20,Peninsula,2005,145,39
