"Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
04/13/2020,Alexandria,235,23,1
04/13/2020,Alleghany,50,11,2
04/13/2020,Arlington,390,35,11
04/13/2020,"Central Shenandoah",171,15,1
04/13/2020,"Central Virginia",76,6,1
04/13/2020,Chesapeake,126,31,3
04/13/2020,Chesterfield,226,24,5
04/13/2020,Chickahominy,99,13,4
04/13/2020,Crater,94,12,6
04/13/2020,"Cumberland Plateau",7,1,0
04/13/2020,"Eastern Shore",19,10,1
04/13/2020,Fairfax,1167,218,21
04/13/2020,Hampton,72,19,1
04/13/2020,Henrico,397,31,33
04/13/2020,Lenowisco,23,6,1
04/13/2020,"Lord Fairfax",129,10,0
04/13/2020,Loudoun,324,35,5
04/13/2020,"Mount Rogers",51,11,5
04/13/2020,"New River",42,6,0
04/13/2020,Norfolk,99,21,1
04/13/2020,Peninsula,273,83,11
04/13/2020,Piedmont,59,11,2
04/13/2020,Pittsylvania-Danville,25,16,1
04/13/2020,Portsmouth,54,18,2
04/13/2020,"Prince William",485,53,9
04/13/2020,Rappahannock,171,37,2
04/13/2020,"Rappahannock Rapidan",69,12,2
04/13/2020,Richmond,167,18,6
04/13/2020,Roanoke,21,3,0
04/13/2020,Southside,67,12,1
04/13/2020,"Thomas Jefferson",142,28,3
04/13/2020,"Three Rivers",48,0,0
04/13/2020,"Virginia Beach",251,51,5
04/13/2020,"West Piedmont",22,1,0
04/13/2020,"Western Tidewater",96,22,3
04/14/2020,Alexandria,247,23,2
04/14/2020,Alleghany,49,10,2
04/14/2020,Arlington,401,36,12
04/14/2020,"Central Shenandoah",186,15,1
04/14/2020,"Central Virginia",77,6,1
04/14/2020,Chesapeake,136,34,3
04/14/2020,Chesterfield,262,24,5
04/14/2020,Chickahominy,115,16,4
04/14/2020,Crater,101,12,6
04/14/2020,"Cumberland Plateau",18,1,0
04/14/2020,"Eastern Shore",19,10,1
04/14/2020,Fairfax,1207,235,21
04/14/2020,Hampton,73,19,1
04/14/2020,Henrico,432,40,33
04/14/2020,Lenowisco,23,7,1
04/14/2020,"Lord Fairfax",144,11,0
04/14/2020,Loudoun,344,37,5
04/14/2020,"Mount Rogers",50,12,4
04/14/2020,"New River",43,6,0
04/14/2020,Norfolk,97,24,1
04/14/2020,Peninsula,282,83,11
04/14/2020,Piedmont,60,11,2
04/14/2020,Pittsylvania-Danville,26,16,1
04/14/2020,Portsmouth,59,21,4
04/14/2020,"Prince William",570,68,10
04/14/2020,Rappahannock,188,38,2
04/14/2020,"Rappahannock Rapidan",75,14,2
04/14/2020,Richmond,175,20,7
04/14/2020,Roanoke,21,3,0
04/14/2020,Southside,73,12,1
04/14/2020,"Thomas Jefferson",163,29,3
04/14/2020,"Three Rivers",50,7,0
04/14/2020,"Virginia Beach",252,51,5
04/14/2020,"West Piedmont",23,3,0
04/14/2020,"Western Tidewater",130,24,3
04/15/2020,Alexandria,254,24,4
04/15/2020,Alleghany,50,10,2
04/15/2020,Arlington,420,44,14
04/15/2020,"Central Shenandoah",204,15,1
