"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-18,Southside,521,60,32
2020-07-18,Chesapeake,1612,164,24
2020-07-18,"Thomas Jefferson",1363,115,29
2020-07-18,Roanoke,621,15,10
2020-07-18,"Eastern Shore",1329,116,43
2020-07-18,"Mount Rogers",935,89,36
2020-07-18,Chickahominy,776,114,40
2020-07-18,"New River",335,25,6
2020-07-18,"Central Virginia",576,17,6
2020-07-18,Piedmont,1161,114,19
2020-07-18,"Lord Fairfax",2298,202,80
2020-07-18,Crater,1826,186,50
2020-07-18,Hampton,645,42,4
2020-07-18,Alexandria,2540,255,56
2020-07-18,Fairfax,14925,1808,522
2020-07-18,Richmond,2541,250,36
2020-07-18,Arlington,2726,427,135
2020-07-18,"Rappahannock Rapidan",1673,125,25
2020-07-18,Rappahannock,2806,256,46
2020-07-18,Pittsylvania-Danville,373,52,4
2020-07-18,"Prince William",10095,883,188
2020-07-18,"Cumberland Plateau",130,8,0
2020-07-18,Portsmouth,925,96,20
2020-07-18,"Virginia Beach",2464,144,36
2020-07-18,"West Piedmont",699,78,8
2020-07-18,"Three Rivers",842,61,11
2020-07-18,Alleghany,694,37,15
2020-07-18,Lenowisco,113,21,5
2020-07-18,Norfolk,2134,138,19
2020-07-18,"Western Tidewater",1247,109,68
2020-07-18,Henrico,3005,282,175
2020-07-18,"Central Shenandoah",2408,191,48
2020-07-18,Loudoun,4596,317,103
2020-07-18,Chesterfield,3692,206,88
2020-07-18,Peninsula,1747,144,38
