"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-08,Southside,437,52,31
2020-07-08,Chesapeake,1088,155,22
2020-07-08,"Thomas Jefferson",1095,101,29
2020-07-08,Roanoke,525,14,10
2020-07-08,"Eastern Shore",1314,113,42
2020-07-08,"Mount Rogers",790,76,33
2020-07-08,Chickahominy,687,110,41
2020-07-08,"New River",271,22,6
2020-07-08,"Central Virginia",445,16,6
2020-07-08,Piedmont,1084,95,15
2020-07-08,"Lord Fairfax",2118,188,74
2020-07-08,Crater,1656,163,44
2020-07-08,Hampton,409,41,5
2020-07-08,Alexandria,2408,242,57
2020-07-08,Fairfax,14379,1713,510
2020-07-08,Richmond,2321,230,29
2020-07-08,Arlington,2558,422,132
2020-07-08,"Rappahannock Rapidan",1517,114,23
2020-07-08,Rappahannock,2575,237,44
2020-07-08,Pittsylvania-Danville,247,43,3
2020-07-08,"Prince William",9577,847,175
2020-07-08,"Cumberland Plateau",79,2,0
2020-07-08,Portsmouth,593,79,18
2020-07-08,"Virginia Beach",1520,128,30
2020-07-08,"West Piedmont",568,49,8
2020-07-08,"Three Rivers",669,54,10
2020-07-08,Alleghany,580,31,15
2020-07-08,Lenowisco,63,17,4
2020-07-08,Norfolk,1194,119,14
2020-07-08,"Western Tidewater",918,93,57
2020-07-08,Henrico,2721,264,165
2020-07-08,"Central Shenandoah",2194,176,41
2020-07-08,Loudoun,4282,283,98
2020-07-08,Chesterfield,3315,161,79
2020-07-08,Peninsula,1178,127,35
