"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-26,Southside,262,37,21
2020-05-26,Chesapeake,459,84,14
2020-05-26,"Thomas Jefferson",451,68,19
2020-05-26,Roanoke,146,9,9
2020-05-26,"Eastern Shore",979,63,28
2020-05-26,"Mount Rogers",310,21,6
2020-05-26,Chickahominy,456,77,27
2020-05-26,"New River",98,13,1
2020-05-26,"Central Virginia",189,16,4
2020-05-26,Piedmont,674,43,6
2020-05-26,"Lord Fairfax",1135,104,45
2020-05-26,Crater,556,82,16
2020-05-26,Hampton,183,30,3
2020-05-26,Alexandria,1785,175,41
2020-05-26,Fairfax,9947,1263,350
2020-05-26,Richmond,1089,134,20
2020-05-26,Arlington,1935,367,104
2020-05-26,"Rappahannock Rapidan",1074,74,12
2020-05-26,Rappahannock,1354,139,16
2020-05-26,Pittsylvania-Danville,83,25,3
2020-05-26,"Prince William",6225,521,111
2020-05-26,"Cumberland Plateau",33,2,0
2020-05-26,Portsmouth,281,41,11
2020-05-26,"Virginia Beach",638,90,23
2020-05-26,"West Piedmont",159,15,5
2020-05-26,"Three Rivers",489,33,6
2020-05-26,Alleghany,184,24,16
2020-05-26,Lenowisco,42,15,4
2020-05-26,Norfolk,450,61,6
2020-05-26,"Western Tidewater",610,64,37
2020-05-26,Henrico,1546,179,118
2020-05-26,"Central Shenandoah",1436,114,28
2020-05-26,Loudoun,2186,153,52
2020-05-26,Chesterfield,1327,76,42
2020-05-26,Peninsula,571,113,32
