"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-12,Southside,470,57,31
2020-07-12,Chesapeake,1253,157,22
2020-07-12,"Thomas Jefferson",1208,104,29
2020-07-12,Roanoke,582,15,10
2020-07-12,"Eastern Shore",1316,113,42
2020-07-12,"Mount Rogers",834,79,35
2020-07-12,Chickahominy,720,115,41
2020-07-12,"New River",296,23,6
2020-07-12,"Central Virginia",505,16,6
2020-07-12,Piedmont,1120,107,18
2020-07-12,"Lord Fairfax",2187,189,75
2020-07-12,Crater,1703,166,49
2020-07-12,Hampton,488,40,4
2020-07-12,Alexandria,2455,249,57
2020-07-12,Fairfax,14607,1728,514
2020-07-12,Richmond,2415,237,35
2020-07-12,Arlington,2615,425,134
2020-07-12,"Rappahannock Rapidan",1584,118,25
2020-07-12,Rappahannock,2666,245,45
2020-07-12,Pittsylvania-Danville,306,46,4
2020-07-12,"Prince William",9752,859,182
2020-07-12,"Cumberland Plateau",96,5,0
2020-07-12,Portsmouth,686,86,19
2020-07-12,"Virginia Beach",1821,139,30
2020-07-12,"West Piedmont",616,57,8
2020-07-12,"Three Rivers",782,58,13
2020-07-12,Alleghany,640,31,15
2020-07-12,Lenowisco,78,17,4
2020-07-12,Norfolk,1548,128,16
2020-07-12,"Western Tidewater",1034,96,64
2020-07-12,Henrico,2860,269,173
2020-07-12,"Central Shenandoah",2264,178,42
2020-07-12,Loudoun,4407,289,99
2020-07-12,Chesterfield,3438,174,84
2020-07-12,Peninsula,1318,129,35
