Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-17,Alexandria,321,36,5
2020-04-17,Alleghany,56,10,2
2020-04-17,Arlington,485,53,15
2020-04-17,Central Shenandoah,340,15,1
2020-04-17,Central Virginia,81,6,1
2020-04-17,Chesapeake,147,36,4
2020-04-17,Chesterfield,317,26,7
2020-04-17,Chickahominy,149,23,6
2020-04-17,Crater,109,14,7
2020-04-17,Cumberland Plateau,18,1,0
2020-04-17,Eastern Shore,33,11,1
2020-04-17,Fairfax,1478,285,37
2020-04-17,Hampton,78,21,1
2020-04-17,Henrico,532,72,62
2020-04-17,Lenowisco,27,9,1
2020-04-17,Lord Fairfax,169,15,0
2020-04-17,Loudoun,385,46,7
2020-04-17,Mount Rogers,52,14,4
2020-04-17,New River,54,7,0
2020-04-17,Norfolk,108,27,2
2020-04-17,Peninsula,301,88,14
2020-04-17,Piedmont,78,14,2
2020-04-17,Pittsylvania-Danville,28,17,1
2020-04-17,Portsmouth,63,23,4
2020-04-17,Prince William,737,84,14
2020-04-17,Rappahannock,241,68,5
2020-04-17,Rappahannock Rapidan,95,15,2
2020-04-17,Richmond,201,31,10
2020-04-17,Roanoke,24,4,0
2020-04-17,Southside,79,17,1
2020-04-17,Thomas Jefferson,205,39,4
2020-04-17,Three Rivers,55,7,1
2020-04-17,Virginia Beach,265,57,6
2020-04-17,West Piedmont,25,3,1
2020-04-17,Western Tidewater,155,27,3
