Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-20,Alexandria,421,45,8
2020-04-20,Alleghany,62,12,3
2020-04-20,Arlington,593,112,22
2020-04-20,Central Shenandoah,411,23,1
2020-04-20,Central Virginia,82,7,2
2020-04-20,Chesapeake,166,38,5
2020-04-20,Chesterfield,365,29,7
2020-04-20,Chickahominy,178,34,12
2020-04-20,Crater,121,21,9
2020-04-20,Cumberland Plateau,18,1,0
2020-04-20,Eastern Shore,59,16,1
2020-04-20,Fairfax,1970,366,59
2020-04-20,Hampton,90,27,1
2020-04-20,Henrico,598,83,72
2020-04-20,Lenowisco,31,10,2
2020-04-20,Lord Fairfax,191,18,0
2020-04-20,Loudoun,446,56,8
2020-04-20,Mount Rogers,57,15,4
2020-04-20,New River,58,8,0
2020-04-20,Norfolk,113,28,2
2020-04-20,Peninsula,312,97,20
2020-04-20,Piedmont,86,15,2
2020-04-20,Pittsylvania-Danville,34,17,1
2020-04-20,Portsmouth,65,24,4
2020-04-20,Prince William,919,110,17
2020-04-20,Rappahannock,287,68,6
2020-04-20,Rappahannock Rapidan,122,17,2
2020-04-20,Richmond,236,35,9
2020-04-20,Roanoke,24,4,0
2020-04-20,Southside,87,18,1
2020-04-20,Thomas Jefferson,216,43,7
2020-04-20,Three Rivers,58,7,1
2020-04-20,Virginia Beach,281,59,8
2020-04-20,West Piedmont,26,4,1
2020-04-20,Western Tidewater,207,33,3
