"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-14,Southside,495,57,31
2020-07-14,Chesapeake,1379,159,23
2020-07-14,"Thomas Jefferson",1277,105,29
2020-07-14,Roanoke,611,15,10
2020-07-14,"Eastern Shore",1319,113,42
2020-07-14,"Mount Rogers",848,82,36
2020-07-14,Chickahominy,734,115,41
2020-07-14,"New River",315,23,6
2020-07-14,"Central Virginia",521,16,6
2020-07-14,Piedmont,1133,109,18
2020-07-14,"Lord Fairfax",2209,191,75
2020-07-14,Crater,1738,170,49
2020-07-14,Hampton,568,42,4
2020-07-14,Alexandria,2465,250,57
2020-07-14,Fairfax,14701,1739,514
2020-07-14,Richmond,2457,240,36
2020-07-14,Arlington,2660,422,134
2020-07-14,"Rappahannock Rapidan",1606,123,25
2020-07-14,Rappahannock,2699,250,46
2020-07-14,Pittsylvania-Danville,313,46,4
2020-07-14,"Prince William",9845,864,182
2020-07-14,"Cumberland Plateau",111,6,0
2020-07-14,Portsmouth,761,88,19
2020-07-14,"Virginia Beach",1993,140,32
2020-07-14,"West Piedmont",646,59,8
2020-07-14,"Three Rivers",816,57,12
2020-07-14,Alleghany,668,32,15
2020-07-14,Lenowisco,89,18,4
2020-07-14,Norfolk,1606,132,16
2020-07-14,"Western Tidewater",1113,99,65
2020-07-14,Henrico,2925,270,173
2020-07-14,"Central Shenandoah",2310,182,45
2020-07-14,Loudoun,4458,296,99
2020-07-14,Chesterfield,3536,176,86
2020-07-14,Peninsula,1518,131,35
