Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-24,Pittsylvania-Danville,42,17,2
2020-04-24,Peninsula,320,96,20
2020-04-24,Eastern Shore,115,18,3
2020-04-24,Lenowisco,35,12,2
2020-04-24,Cumberland Plateau,18,1,0
2020-04-24,Piedmont,111,17,3
2020-04-24,Southside,104,23,7
2020-04-24,Alexandria,547,81,15
2020-04-24,Henrico,729,107,86
2020-04-24,Hampton,99,26,1
2020-04-24,Alleghany,82,14,3
2020-04-24,Richmond,267,51,14
2020-04-24,Chesapeake,197,43,5
2020-04-24,Crater,167,35,9
2020-04-24,Roanoke,33,5,0
2020-04-24,Portsmouth,100,30,4
2020-04-24,Central Shenandoah,599,39,11
2020-04-24,New River,67,8,0
2020-04-24,Loudoun,529,67,10
2020-04-24,Central Virginia,102,7,1
2020-04-24,Chickahominy,201,40,12
2020-04-24,Rappahannock Rapidan,200,21,3
2020-04-24,Norfolk,141,31,3
2020-04-24,Arlington,722,120,24
2020-04-24,Prince William,1291,138,20
2020-04-24,Thomas Jefferson,244,49,11
2020-04-24,Rappahannock,355,75,9
2020-04-24,Three Rivers,122,11,1
2020-04-24,Chesterfield,473,38,20
2020-04-24,Lord Fairfax,256,31,0
2020-04-24,Fairfax,2584,460,89
2020-04-24,Virginia Beach,331,65,10
2020-04-24,Mount Rogers,59,15,4
2020-04-24,West Piedmont,33,5,1
2020-04-24,Western Tidewater,319,41,7
