"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-15,Southside,199,33,16
2020-05-15,Chesapeake,379,76,10
2020-05-15,"Thomas Jefferson",370,65,13
2020-05-15,Roanoke,120,7,1
2020-05-15,"Eastern Shore",841,41,16
2020-05-15,"Mount Rogers",209,17,4
2020-05-15,Chickahominy,342,71,26
2020-05-15,"New River",88,12,1
2020-05-15,"Central Virginia",171,16,3
2020-05-15,Piedmont,507,37,5
2020-05-15,"Lord Fairfax",815,75,32
2020-05-15,Crater,365,76,14
2020-05-15,Hampton,158,29,3
2020-05-15,Alexandria,1396,159,32
2020-05-15,Fairfax,7245,1050,280
2020-05-15,Richmond,665,105,18
2020-05-15,Arlington,1534,306,71
2020-05-15,"Rappahannock Rapidan",633,53,11
2020-05-15,Rappahannock,902,123,14
2020-05-15,Pittsylvania-Danville,61,22,2
2020-05-15,"Prince William",4130,398,75
2020-05-15,"Cumberland Plateau",28,2,0
2020-05-15,Portsmouth,219,39,10
2020-05-15,"Virginia Beach",535,86,19
2020-05-15,"West Piedmont",69,10,2
2020-05-15,"Three Rivers",359,30,6
2020-05-15,Alleghany,157,23,4
2020-05-15,Lenowisco,42,15,4
2020-05-15,Norfolk,349,56,5
2020-05-15,"Western Tidewater",532,57,28
2020-05-15,Henrico,1198,169,113
2020-05-15,"Central Shenandoah",1163,82,24
2020-05-15,Loudoun,1374,134,48
2020-05-15,Chesterfield,1043,72,36
2020-05-15,Peninsula,474,111,31
