"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-17,Southside,514,59,31
2020-07-17,Chesapeake,1560,163,24
2020-07-17,"Thomas Jefferson",1335,113,29
2020-07-17,Roanoke,622,15,10
2020-07-17,"Eastern Shore",1325,114,42
2020-07-17,"Mount Rogers",910,86,36
2020-07-17,Chickahominy,772,114,40
2020-07-17,"New River",329,24,6
2020-07-17,"Central Virginia",564,17,6
2020-07-17,Piedmont,1160,113,19
2020-07-17,"Lord Fairfax",2273,202,80
2020-07-17,Crater,1805,184,50
2020-07-17,Hampton,625,42,4
2020-07-17,Alexandria,2523,255,56
2020-07-17,Fairfax,14858,1806,522
2020-07-17,Richmond,2521,250,36
2020-07-17,Arlington,2704,427,135
2020-07-17,"Rappahannock Rapidan",1653,124,25
2020-07-17,Rappahannock,2776,253,46
2020-07-17,Pittsylvania-Danville,354,52,4
2020-07-17,"Prince William",10013,881,187
2020-07-17,"Cumberland Plateau",125,7,0
2020-07-17,Portsmouth,872,96,20
2020-07-17,"Virginia Beach",2396,142,34
2020-07-17,"West Piedmont",691,74,8
2020-07-17,"Three Rivers",835,60,11
2020-07-17,Alleghany,694,37,15
2020-07-17,Lenowisco,102,19,5
2020-07-17,Norfolk,2020,137,19
2020-07-17,"Western Tidewater",1205,104,68
2020-07-17,Henrico,2987,279,175
2020-07-17,"Central Shenandoah",2381,189,46
2020-07-17,Loudoun,4576,315,102
2020-07-17,Chesterfield,3667,198,87
2020-07-17,Peninsula,1686,136,35
