Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-21,Alexandria,462,60,9
2020-04-21,Alleghany,64,13,3
2020-04-21,Arlington,625,114,23
2020-04-21,Central Shenandoah,445,23,1
2020-04-21,Central Virginia,89,7,2
2020-04-21,Chesapeake,176,39,5
2020-04-21,Chesterfield,390,29,9
2020-04-21,Chickahominy,186,35,12
2020-04-21,Crater,138,25,9
2020-04-21,Cumberland Plateau,18,1,0
2020-04-21,Eastern Shore,59,16,1
2020-04-21,Fairfax,2123,383,66
2020-04-21,Hampton,92,26,1
2020-04-21,Henrico,621,90,77
2020-04-21,Lenowisco,32,10,2
2020-04-21,Lord Fairfax,201,21,0
2020-04-21,Loudoun,468,59,8
2020-04-21,Mount Rogers,57,15,4
2020-04-21,New River,62,8,0
2020-04-21,Norfolk,118,28,3
2020-04-21,Peninsula,311,96,20
2020-04-21,Piedmont,90,16,3
2020-04-21,Pittsylvania-Danville,36,17,2
2020-04-21,Portsmouth,82,28,4
2020-04-21,Prince William,1008,113,17
2020-04-21,Rappahannock,296,72,6
2020-04-21,Rappahannock Rapidan,148,18,2
2020-04-21,Richmond,246,39,10
2020-04-21,Roanoke,25,5,0
2020-04-21,Southside,92,20,1
2020-04-21,Thomas Jefferson,224,46,10
2020-04-21,Three Rivers,102,10,1
2020-04-21,Virginia Beach,288,60,8
2020-04-21,West Piedmont,27,4,1
2020-04-21,Western Tidewater,229,35,4
