Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-15,Alexandria,254,24,4
2020-04-15,Alleghany,50,10,2
2020-04-15,Arlington,420,44,14
2020-04-15,Central Shenandoah,204,15,1
2020-04-15,Central Virginia,78,6,1
2020-04-15,Chesapeake,140,35,4
2020-04-15,Chesterfield,276,24,7
2020-04-15,Chickahominy,118,18,4
2020-04-15,Crater,103,11,5
2020-04-15,Cumberland Plateau,18,1,0
2020-04-15,Eastern Shore,19,10,1
2020-04-15,Fairfax,1298,256,30
2020-04-15,Hampton,75,19,1
2020-04-15,Henrico,453,46,52
2020-04-15,Lenowisco,24,8,1
2020-04-15,Lord Fairfax,153,14,0
2020-04-15,Loudoun,367,40,6
2020-04-15,Mount Rogers,50,12,4
2020-04-15,New River,44,6,0
2020-04-15,Norfolk,99,26,2
2020-04-15,Peninsula,287,85,12
2020-04-15,Piedmont,68,13,2
2020-04-15,Pittsylvania-Danville,26,16,1
2020-04-15,Portsmouth,59,22,4
2020-04-15,Prince William,603,72,11
2020-04-15,Rappahannock,209,41,2
2020-04-15,Rappahannock Rapidan,80,15,2
2020-04-15,Richmond,177,21,8
2020-04-15,Roanoke,22,4,0
2020-04-15,Southside,73,12,1
2020-04-15,Thomas Jefferson,192,33,4
2020-04-15,Three Rivers,50,7,1
2020-04-15,Virginia Beach,256,54,5
2020-04-15,West Piedmont,23,3,0
2020-04-15,Western Tidewater,132,25,3
