"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-18,Southside,344,46,26
2020-06-18,Chesapeake,697,105,16
2020-06-18,"Thomas Jefferson",737,81,19
2020-06-18,Roanoke,277,12,10
2020-06-18,"Eastern Shore",1285,105,41
2020-06-18,"Mount Rogers",590,62,23
2020-06-18,Chickahominy,578,104,35
2020-06-18,"New River",153,18,4
2020-06-18,"Central Virginia",283,17,4
2020-06-18,Piedmont,939,78,7
2020-06-18,"Lord Fairfax",1786,149,62
2020-06-18,Crater,1279,126,21
2020-06-18,Hampton,251,37,5
2020-06-18,Alexandria,2186,229,48
2020-06-18,Fairfax,13334,1547,444
2020-06-18,Richmond,1895,198,29
2020-06-18,Arlington,2382,409,126
2020-06-18,"Rappahannock Rapidan",1383,103,18
2020-06-18,Rappahannock,2211,196,30
2020-06-18,Pittsylvania-Danville,144,33,3
2020-06-18,"Prince William",8414,757,147
2020-06-18,"Cumberland Plateau",37,2,0
2020-06-18,Portsmouth,402,60,13
2020-06-18,"Virginia Beach",936,112,27
2020-06-18,"West Piedmont",354,34,5
2020-06-18,"Three Rivers",590,46,9
2020-06-18,Alleghany,288,28,14
2020-06-18,Lenowisco,46,16,4
2020-06-18,Norfolk,704,88,7
2020-06-18,"Western Tidewater",705,78,46
2020-06-18,Henrico,2342,241,139
2020-06-18,"Central Shenandoah",1839,148,32
2020-06-18,Loudoun,3499,228,82
2020-06-18,Chesterfield,2549,128,57
2020-06-18,Peninsula,799,123,33
