Report Date,Number of Hospitalizations,Number of Deaths,Health District Name,Sex,Number of Cases
2020-04-22,25,3,Virginia Beach,Female,167
2020-04-22,2,0,Roanoke,Female,9
2020-04-22,16,4,Chickahominy,Female,120
2020-04-22,13,2,Chesterfield,Female,206
2020-04-22,11,2,Piedmont,Male,30
2020-04-22,0,0,Rappahannock,Not Reported,3
2020-04-22,13,1,Southside,Male,34
2020-04-22,16,1,Richmond,Female,132
2020-04-22,3,1,West Piedmont,Male,13
2020-04-22,0,0,Alexandria,Not Reported,2
2020-04-22,18,2,Chesapeake,Female,102
2020-04-22,0,0,Mount Rogers,Not Reported,1
2020-04-22,32,2,Rappahannock,Female,164
2020-04-22,17,2,Portsmouth,Male,39
2020-04-22,0,0,Loudoun,Not Reported,2
2020-04-22,1,0,West Piedmont,Female,15
2020-04-22,5,0,New River,Male,31
2020-04-22,0,0,Cumberland Plateau,Male,6
2020-04-22,8,1,Rappahannock Rapidan,Female,79
2020-04-22,8,1,Pittsylvania-Danville,Male,16
2020-04-22,20,5,Loudoun,Female,242
2020-04-22,1,0,Fairfax,Not Reported,13
2020-04-22,43,42,Henrico,Female,391
2020-04-22,9,0,Lord Fairfax,Female,112
2020-04-22,41,4,Loudoun,Male,231
2020-04-22,0,0,Rappahannock Rapidan,Not Reported,2
2020-04-22,65,14,Arlington,Male,327
2020-04-22,5,1,Piedmont,Female,60
2020-04-22,1,0,Chickahominy,Not Reported,5
2020-04-22,15,4,Western Tidewater,Female,135
2020-04-22,14,6,Crater,Female,79
2020-04-22,23,8,Richmond,Male,114
2020-04-22,43,7,Rappahannock,Male,143
2020-04-22,16,7,Chesterfield,Male,187
2020-04-22,1,1,Henrico,Not Reported,7
2020-04-22,162,31,Fairfax,Female,1118
2020-04-22,31,4,Alexandria,Female,246
2020-04-22,246,37,Fairfax,Male,1175
2020-04-22,34,8,Alexandria,Male,226
2020-04-22,13,2,Portsmouth,Female,53
2020-04-22,35,5,Virginia Beach,Male,146
2020-04-22,1,0,Cumberland Plateau,Female,12
2020-04-22,0,0,Central Shenandoah,Not Reported,8
2020-04-22,20,6,Central Shenandoah,Male,222
2020-04-22,51,10,Arlington,Female,331
2020-04-22,9,1,Pittsylvania-Danville,Female,22
2020-04-22,4,1,Three Rivers,Female,26
2020-04-22,12,0,Lord Fairfax,Male,105
2020-04-22,9,0,Hampton,Female,52
2020-04-22,8,0,Southside,Female,60
2020-04-22,5,2,Alleghany,Female,41
2020-04-22,0,0,Arlington,Not Reported,5
2020-04-22,52,39,Henrico,Male,286
2020-04-22,3,0,New River,Female,34
2020-04-22,0,0,Prince William,Not Reported,6
2020-04-22,26,2,Thomas Jefferson,Female,127
2020-04-22,10,3,Crater,Male,56
2020-04-22,16,3,Central Shenandoah,Female,295
2020-04-22,9,1,Eastern Shore,Female,23
2020-04-22,5,1,Lenowisco,Male,16
2020-04-22,16,3,Norfolk,Male,49
2020-04-22,0,0,New River,Not Reported,1
2020-04-22,6,0,Three Rivers,Male,78
2020-04-22,57,7,Prince William,Female,547
2020-04-22,7,0,Eastern Shore,Male,44
2020-04-22,17,1,Hampton,Male,45
2020-04-22,53,7,Peninsula,Male,151
2020-04-22,13,0,Norfolk,Female,77
2020-04-22,18,7,Chickahominy,Male,66
2020-04-22,65,11,Prince William,Male,522
2020-04-22,5,0,Mount Rogers,Female,27
2020-04-22,3,0,Roanoke,Male,18
2020-04-22,43,13,Peninsula,Female,160
2020-04-22,8,1,Alleghany,Male,32
2020-04-22,0,0,Portsmouth,Not Reported,1
2020-04-22,10,4,Mount Rogers,Male,30
2020-04-22,20,8,Thomas Jefferson,Male,107
2020-04-22,2,0,Crater,Not Reported,4
2020-04-22,24,2,Western Tidewater,Male,114
2020-04-22,21,3,Chesapeake,Male,78
2020-04-22,2,0,Central Virginia,Female,38
2020-04-22,5,2,Central Virginia,Male,55
2020-04-22,2,1,Richmond,Not Reported,4
2020-04-22,1,0,Chesterfield,Not Reported,9
2020-04-22,10,1,Rappahannock Rapidan,Male,83
2020-04-22,5,1,Lenowisco,Female,16
