"Report Date",FIPS,Locality,"VDH Health District","Total Cases",Hospitalizations,Deaths
2020-05-22,51001,Accomack,"Eastern Shore",711,40,11
2020-05-22,51003,Albemarle,"Thomas Jefferson",142,19,4
2020-05-22,51005,Alleghany,Alleghany,10,4,2
2020-05-22,51007,Amelia,Piedmont,22,7,1
2020-05-22,51009,Amherst,"Central Virginia",25,3,0
2020-05-22,51011,Appomattox,"Central Virginia",26,1,0
2020-05-22,51013,Arlington,Arlington,1795,346,91
2020-05-22,51015,Augusta,"Central Shenandoah",86,2,1
2020-05-22,51017,Bath,"Central Shenandoah",0,0,0
2020-05-22,51019,Bedford,"Central Virginia",41,2,2
2020-05-22,51021,Bland,"Mount Rogers",0,0,0
2020-05-22,51023,Botetourt,Alleghany,31,9,4
2020-05-22,51025,Brunswick,Southside,21,5,1
2020-05-22,51027,Buchanan,"Cumberland Plateau",18,0,0
2020-05-22,51029,Buckingham,Piedmont,439,16,2
2020-05-22,51031,Campbell,"Central Virginia",13,3,1
2020-05-22,51033,Caroline,Rappahannock,45,5,2
2020-05-22,51035,Carroll,"Mount Rogers",66,3,1
2020-05-22,51036,"Charles City",Chickahominy,25,9,1
2020-05-22,51037,Charlotte,Piedmont,19,4,0
2020-05-22,51041,Chesterfield,Chesterfield,1152,73,29
2020-05-22,51043,Clarke,"Lord Fairfax",21,3,0
2020-05-22,51045,Craig,Alleghany,5,0,0
2020-05-22,51047,Culpeper,"Rappahannock Rapidan",555,44,5
2020-05-22,51049,Cumberland,Piedmont,25,3,0
2020-05-22,51051,Dickenson,"Cumberland Plateau",0,0,0
2020-05-22,51053,Dinwiddie,Crater,47,11,0
2020-05-22,51057,Essex,"Three Rivers",36,3,0
2020-05-22,51059,Fairfax,Fairfax,8734,1181,321
2020-05-22,51061,Fauquier,"Rappahannock Rapidan",267,20,5
2020-05-22,51063,Floyd,"New River",4,1,0
2020-05-22,51065,Fluvanna,"Thomas Jefferson",84,22,6
2020-05-22,51067,"Franklin County","West Piedmont",31,3,1
2020-05-22,51069,Frederick,"Lord Fairfax",249,20,3
2020-05-22,51071,Giles,"New River",5,0,0
2020-05-22,51073,Gloucester,"Three Rivers",30,7,1
2020-05-22,51075,Goochland,Chickahominy,89,16,5
2020-05-22,51077,Grayson,"Mount Rogers",24,2,0
