LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,1
Augusta Correctional Center,149,2,5,584,47
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,0,0,0,185,10
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,177,2,4,609,18
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,10,0,0,27,2
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,6
Dillwyn Correctional Center,0,0,2,350,5
Fluvanna Correctional Center for Women,33,0,0,360,26
Green Rock Correctional Center,1,0,0,103,4
Greensville Correctional Center (includes Greensville Work Center),0,0,2,697,21
Halifax Correctional Unit,3,0,0,3,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,57,0,1,315,13
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,0,0,1,15,7
Lawrenceville Correctional Center,3,1,1,99,1
Lunenburg Correctional Center,36,1,0,111,3
Marion Correctional Treatment Center,57,1,1,71,31
Nottoway Correctional Center (includes Nottoway Work Center),51,1,1,495,16
Patrick Henry Correctional Unit,30,0,0,47,12
Pocahontas State Correctional Center,13,0,3,220,11
Red Onion State Prison,0,0,0,26,13
River North Correctional Center,0,0,0,2,8
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,42,0,0,422,5
Stafford Men’s CCAP,0,0,0,8,1
State Farm Correctional Complex,96,6,5,481,41
Sussex I State Prison,1,1,0,177,10
Sussex II State Prison,73,0,1,147,13
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,3
Wallens Ridge State Prison,0,0,0,1,11
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,7
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,832,15,48,7644,366
