LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,2
Baskerville Correctional Center,0,0,0,162,4
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,0,4,165,1
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,2,1
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),255,21,6,492,28
Dillwyn Correctional Center,0,0,2,347,1
Fluvanna Correctional Center for Women,40,2,0,50,11
Green Rock Correctional Center,0,0,0,96,0
Greensville Correctional Center (includes Greensville Work Center),0,0,2,655,13
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,0,0,1,256,1
Haynesville Correctional Unit #17,1,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,0,0,0,9,1
Lawrenceville Correctional Center,1,1,0,94,2
Lunenburg Correctional Center,0,0,0,3,3
Marion Correctional Treatment Center,0,0,0,1,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,4
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,20,3
River North Correctional Center,0,0,0,0,0
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,315,2
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,0,0,2,162,3
Sussex I State Prison,37,0,0,39,7
Sussex II State Prison,0,0,1,73,2
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,2
Wallens Ridge State Prison,0,0,0,0,0
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,334,24,19,3127,94
