LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,2,0,0,2,1
Augusta Correctional Center,40,3,0,43,33
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,101,3,0,159,32
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,121,0,4,369,4
Caroline Correctional Unit,6,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,53,0,1,641,23
Cold Springs CCAP,0,0,0,0,3
Cold Springs Correctional Unit #10,12,0,0,12,5
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,7
Dillwyn Correctional Center,1,0,2,350,1
Fluvanna Correctional Center for Women,56,1,0,230,12
Green Rock Correctional Center,0,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),6,0,2,696,11
Halifax Correctional Unit,0,0,0,0,3
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,7,0,1,263,3
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,4
Lawrenceville Correctional Center,0,0,1,95,1
Lunenburg Correctional Center,0,0,0,4,2
Marion Correctional Treatment Center,0,0,0,2,6
Nottoway Correctional Center (includes Nottoway Work Center),211,0,0,212,12
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,179,0,0,179,16
Red Onion State Prison,3,0,0,23,17
River North Correctional Center,0,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,36,0,0,377,3
Stafford Men’s CCAP,3,0,0,4,3
State Farm Correctional Complex,49,2,3,230,17
Sussex I State Prison,0,0,0,161,2
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,0,0,0,1,5
Wise Correctional Unit,8,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,5
Administration & Operations,n/a,n/a,n/a,n/a,1
Totals,894,9,35,5543,254
