LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,1
Augusta Correctional Center,143,1,5,585,40
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,0,0,0,185,6
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,94,2,4,634,19
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,9,0,0,28,1
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,8
Dillwyn Correctional Center,1,0,2,351,5
Fluvanna Correctional Center for Women,4,0,0,360,25
Green Rock Correctional Center,0,0,0,102,3
Greensville Correctional Center (includes Greensville Work Center),1,0,2,698,27
Halifax Correctional Unit,6,0,0,6,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,117,0,1,375,13
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,3
Keen Mountain Correctional Center,0,0,1,15,8
Lawrenceville Correctional Center,0,1,1,99,1
Lunenburg Correctional Center,36,1,0,111,2
Marion Correctional Treatment Center,75,1,1,89,28
Nottoway Correctional Center (includes Nottoway Work Center),52,4,1,499,14
Patrick Henry Correctional Unit,24,0,0,59,11
Pocahontas State Correctional Center,10,0,3,222,9
Red Onion State Prison,1,0,0,27,8
River North Correctional Center,0,0,0,2,8
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,0,0,0,422,9
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,100,4,5,485,44
Sussex I State Prison,1,0,0,177,8
Sussex II State Prison,68,3,1,147,15
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,5
Wallens Ridge State Prison,0,0,0,1,6
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,3
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,9
Administration & Operations,n/a,n/a,n/a,n/a,5
Totals,742,17,48,7776,359
