Location,Offenders on‑site,Offenders in hospitals,Death of COVID‑19 positive offender,Total positive offendersonsite + hospital + deaths + releases + recovered + transfers in - transfers out,Staff active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,2
Baskerville Correctional Center,1,0,0,162,7
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,0,4,165,1
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,2,1
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),286,10,2,376,18
Dillwyn Correctional Center,0,0,2,347,1
Fluvanna Correctional Center for Women,41,0,0,49,3
Green Rock Correctional Center,1,0,0,97,0
Greensville Correctional Center (includes Greensville Work Center),0,0,2,655,17
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,1
Haynesville Correctional Unit #17,1,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,1
Keen Mountain Correctional Center,0,0,0,9,0
Lawrenceville Correctional Center,0,1,0,93,2
Lunenburg Correctional Center,0,0,0,3,2
Marion Correctional Treatment Center,0,0,0,1,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,2
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,0,0,0,0,1
Red Onion State Prison,0,0,0,20,0
River North Correctional Center,0,0,0,0,0
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,315,5
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,0,0,2,161,1
Sussex I State Prison,0,0,0,2,2
Sussex II State Prison,0,0,1,73,1
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,0,0,0,0,2
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,1
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,330,11,15,2972,77
