LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,5
Augusta Correctional Center,122,3,5,495,50
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,9,0,0,185,14
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,177,1,4,608,18
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,1,0,1,674,3
Cold Springs CCAP,22,0,0,27,3
Cold Springs Correctional Unit #10,0,0,0,64,3
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,6
Dillwyn Correctional Center,0,0,2,350,4
Fluvanna Correctional Center for Women,55,1,0,359,32
Green Rock Correctional Center,1,0,0,103,4
Greensville Correctional Center (includes Greensville Work Center),0,0,2,697,19
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,59,0,1,315,8
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,1,0,15,6
Lawrenceville Correctional Center,3,0,1,98,1
Lunenburg Correctional Center,40,1,0,111,1
Marion Correctional Treatment Center,65,2,1,71,25
Nottoway Correctional Center (includes Nottoway Work Center),74,2,1,433,27
Patrick Henry Correctional Unit,37,0,0,38,9
Pocahontas State Correctional Center,16,1,3,219,10
Red Onion State Prison,1,0,0,25,19
River North Correctional Center,0,0,0,2,3
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,42,0,0,422,5
Stafford Men’s CCAP,0,0,0,8,1
State Farm Correctional Complex,97,6,5,478,45
Sussex I State Prison,14,1,0,177,16
Sussex II State Prison,2,0,1,76,5
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,2
Wallens Ridge State Prison,0,0,0,1,12
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,3
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,837,19,47,7402,374
