LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,49,0,0,49,5
Augusta Correctional Center,357,5,1,398,70
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,38,0,0,181,17
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,83,2,4,449,10
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,31,0,1,672,10
Cold Springs CCAP,7,0,0,7,2
Cold Springs Correctional Unit #10,49,1,0,54,10
Deerfield Correctional Center (includes Deerfield Work Centers),2,0,19,837,8
Dillwyn Correctional Center,1,0,2,350,1
Fluvanna Correctional Center for Women,115,0,0,300,27
Green Rock Correctional Center,0,0,0,102,4
Greensville Correctional Center (includes Greensville Work Center),0,0,2,696,10
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,57,1,1,314,5
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,5
Lawrenceville Correctional Center,3,0,1,98,0
Lunenburg Correctional Center,65,0,0,69,2
Marion Correctional Treatment Center,4,1,0,7,4
Nottoway Correctional Center (includes Nottoway Work Center),213,1,0,427,21
Patrick Henry Correctional Unit,13,0,0,13,0
Pocahontas State Correctional Center,189,0,2,203,22
Red Onion State Prison,1,0,0,24,6
River North Correctional Center,0,0,0,2,7
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,377,2
Stafford Men’s CCAP,6,0,0,8,8
State Farm Correctional Complex,141,3,4,374,29
Sussex I State Prison,13,1,0,175,12
Sussex II State Prison,1,0,1,75,2
Virginia Correctional Center for Women (includes State Farm Work Center),1,0,1,47,2
Wallens Ridge State Prison,0,0,0,1,5
Wise Correctional Unit,0,0,0,24,2
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,7
Administration & Operations,n/a,n/a,n/a,n/a,1
Totals,1441,15,39,6740,325
