LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,1
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,34,0,0,34,7
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,18,0,4,227,1
Caroline Correctional Unit,0,0,0,0,1
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,214,0,1,449,25
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,4
Dillwyn Correctional Center,0,0,2,349,0
Fluvanna Correctional Center for Women,2,0,0,174,3
Green Rock Correctional Center,0,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),0,0,2,686,9
Halifax Correctional Unit,0,0,0,0,1
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,2
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,4,0,0,13,1
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,0,0,0,3,1
Marion Correctional Treatment Center,0,0,0,2,4
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,3
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,0,0,0,0,5
Red Onion State Prison,0,0,0,20,1
River North Correctional Center,2,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,20,0,0,335,1
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,4,1,2,176,16
Sussex I State Prison,0,0,0,161,0
Sussex II State Prison,0,0,1,74,0
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,1
Wallens Ridge State Prison,0,0,0,0,2
Wise Correctional Unit,0,0,0,16,1
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,4
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,298,1,34,4444,108
