Location,Offenders on‑site,Offenders in hospitals,Death of COVID‑19 positive offender,Total positive offendersonsite + hospital + deaths + releases + recovered + transfers in - transfers out,Staff active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,86,1,0,250,3
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,0,4,165,0
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,1,0,3,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),44,2,19,733,10
Dillwyn Correctional Center,0,0,2,347,0
Fluvanna Correctional Center for Women,0,0,0,170,4
Green Rock Correctional Center,0,0,0,96,0
Greensville Correctional Center (includes Greensville Work Center),1,0,2,661,5
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,0,0,1,256,0
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,0,0,0,9,1
Lawrenceville Correctional Center,1,0,1,95,1
Lunenburg Correctional Center,0,0,0,3,0
Marion Correctional Treatment Center,0,0,0,1,1
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,1
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,20,0
River North Correctional Center,0,0,0,0,0
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,315,0
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,0,0,2,162,0
Sussex I State Prison,0,0,0,153,11
Sussex II State Prison,0,0,1,73,5
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,0
Wallens Ridge State Prison,0,0,0,0,0
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,1
Administration & Operations,n/a,n/a,n/a,n/a,0
Total,132,4,33,3698,46
