LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,16,0,0,16,6
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,18,0,4,227,2
Caroline Correctional Unit,0,0,0,0,1
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,88,0,1,323,27
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,4
Dillwyn Correctional Center,0,0,2,349,0
Fluvanna Correctional Center for Women,2,0,0,174,3
Green Rock Correctional Center,0,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),0,0,2,686,7
Halifax Correctional Unit,0,0,0,0,1
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,1
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,2,0,0,11,1
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,0,0,0,3,0
Marion Correctional Treatment Center,0,0,0,2,2
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,2
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,0,0,0,0,4
Red Onion State Prison,0,0,0,20,0
River North Correctional Center,2,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,1,0,0,316,1
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,2,2,2,175,14
Sussex I State Prison,0,0,0,161,1
Sussex II State Prison,0,0,1,74,0
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,1
Wallens Ridge State Prison,0,0,0,0,1
Wise Correctional Unit,0,0,0,16,1
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,6
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,131,2,34,4278,100
