LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,21
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,2
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,7,0,4,644,9
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,5
Cold Springs CCAP,0,0,0,31,1
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,12
Dillwyn Correctional Center,112,1,2,464,13
Fluvanna Correctional Center for Women,146,1,0,547,11
Green Rock Correctional Center,1,0,0,103,3
Greensville Correctional Center (includes Greensville Work Center),1,0,2,700,29
Halifax Correctional Unit,0,0,0,130,2
Harrisonburg Men’s CCAP,0,0,0,26,2
Haynesville Correctional Center,133,0,1,453,6
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,4
Keen Mountain Correctional Center,0,0,1,15,1
Lawrenceville Correctional Center,1,0,1,101,10
Lunenburg Correctional Center,0,0,1,119,0
Marion Correctional Treatment Center,0,0,2,89,3
Nottoway Correctional Center (includes Nottoway Work Center),9,0,1,519,0
Patrick Henry Correctional Unit,0,0,0,59,1
Pocahontas State Correctional Center,8,1,3,231,3
Red Onion State Prison,10,0,0,39,5
River North Correctional Center,0,0,0,2,5
Rustburg Correctional Unit,25,1,0,26,6
St. Brides Correctional Center,36,0,0,458,8
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,2,2,9,493,12
Sussex I State Prison,0,0,0,178,4
Sussex II State Prison,35,2,1,182,12
Virginia Correctional Center for Women (includes State Farm Work Center),10,0,1,57,3
Wallens Ridge State Prison,13,0,0,14,3
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,8
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,2
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,549,8,54,8474,213
