LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,40,0,0,40,5
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,91,3,0,136,42
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,117,0,4,343,3
Caroline Correctional Unit,6,0,0,6,1
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,2,1,1,590,30
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,5
Dillwyn Correctional Center,0,0,2,349,1
Fluvanna Correctional Center for Women,8,0,0,182,8
Green Rock Correctional Center,0,0,0,102,0
Greensville Correctional Center (includes Greensville Work Center),0,0,2,690,10
Halifax Correctional Unit,0,0,0,0,1
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,6
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,53,0
Keen Mountain Correctional Center,0,0,0,14,1
Lawrenceville Correctional Center,0,0,1,95,1
Lunenburg Correctional Center,0,0,0,3,2
Marion Correctional Treatment Center,0,0,0,2,3
Nottoway Correctional Center (includes Nottoway Work Center),210,0,0,211,6
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,9,0,0,9,11
Red Onion State Prison,0,0,0,20,12
River North Correctional Center,2,0,0,2,4
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,2,0,0,341,0
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,35,1,3,212,18
Sussex I State Prison,0,0,0,161,0
Sussex II State Prison,0,0,1,74,0
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,2
Wallens Ridge State Prison,0,0,0,1,7
Wise Correctional Unit,0,0,0,16,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,2
Administration & Operations,n/a,n/a,n/a,n/a,1
Totals,522,5,35,5123,189
