LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,1,0,0,1,2
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,46,0,0,51,27
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,45,0,4,256,2
Caroline Correctional Unit,1,0,0,1,1
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,264,1,1,590,31
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,4
Dillwyn Correctional Center,0,0,2,349,0
Fluvanna Correctional Center for Women,0,0,0,174,4
Green Rock Correctional Center,0,0,0,102,0
Greensville Correctional Center (includes Greensville Work Center),5,0,2,691,6
Halifax Correctional Unit,0,0,0,0,1
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,3
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,5,0,0,14,1
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,0,0,0,3,1
Marion Correctional Treatment Center,0,0,0,2,3
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,3
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,0,0,0,0,9
Red Onion State Prison,0,0,0,20,2
River North Correctional Center,2,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,23,0,0,338,1
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,7,2,2,180,22
Sussex I State Prison,0,0,0,161,0
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,1,0,0,1,4
Wise Correctional Unit,0,0,0,16,1
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,4
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,400,3,34,4647,148
