LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,1
Augusta Correctional Center,131,2,5,585,38
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,0,0,0,185,7
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,94,2,4,634,19
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,8,0,0,28,1
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,11
Dillwyn Correctional Center,1,0,2,351,4
Fluvanna Correctional Center for Women,5,0,0,361,20
Green Rock Correctional Center,0,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),1,0,2,698,28
Halifax Correctional Unit,10,0,0,10,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,117,0,1,375,16
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,4
Keen Mountain Correctional Center,0,0,1,16,7
Lawrenceville Correctional Center,1,0,1,99,2
Lunenburg Correctional Center,36,0,1,112,2
Marion Correctional Treatment Center,71,1,1,89,27
Nottoway Correctional Center (includes Nottoway Work Center),54,2,1,499,16
Patrick Henry Correctional Unit,23,0,0,59,11
Pocahontas State Correctional Center,10,0,3,222,9
Red Onion State Prison,2,0,0,28,6
River North Correctional Center,0,0,0,2,8
Rustburg Correctional Unit,0,0,0,0,2
St. Brides Correctional Center,0,0,0,422,9
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,8,3,6,485,43
Sussex I State Prison,1,0,0,177,9
Sussex II State Prison,68,3,1,147,15
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,6
Wallens Ridge State Prison,0,0,0,1,7
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,8
Administration & Operations,n/a,n/a,n/a,n/a,5
Totals,641,13,50,7784,358
