LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,31,0,0,31,1
Augusta Correctional Center,328,4,0,332,65
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,45,0,0,174,17
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,55,0,4,392,7
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,83,1,1,672,18
Cold Springs CCAP,5,0,0,6,4
Cold Springs Correctional Unit #10,50,1,0,54,11
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,7
Dillwyn Correctional Center,1,0,2,350,1
Fluvanna Correctional Center for Women,102,0,0,282,25
Green Rock Correctional Center,0,0,0,102,5
Greensville Correctional Center (includes Greensville Work Center),6,0,2,696,9
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,44,1,1,301,6
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,5
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,32,0,0,36,4
Marion Correctional Treatment Center,0,0,0,2,5
Nottoway Correctional Center (includes Nottoway Work Center),74,1,0,286,14
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,191,3,0,194,18
Red Onion State Prison,4,0,0,24,10
River North Correctional Center,0,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,36,0,0,377,3
Stafford Men’s CCAP,6,0,0,8,7
State Farm Correctional Complex,60,3,3,243,17
Sussex I State Prison,0,0,0,161,5
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),1,0,1,47,5
Wallens Ridge State Prison,0,0,0,1,6
Wise Correctional Unit,7,0,0,24,2
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,8
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,1163,14,35,6208,302
