LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,22
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,3
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,11,0,4,644,9
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,4
Cold Springs CCAP,0,0,0,31,1
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,12
Dillwyn Correctional Center,89,1,2,441,15
Fluvanna Correctional Center for Women,129,0,0,490,14
Green Rock Correctional Center,0,0,0,102,5
Greensville Correctional Center (includes Greensville Work Center),0,0,2,699,28
Halifax Correctional Unit,54,0,0,130,9
Harrisonburg Men’s CCAP,0,0,0,26,2
Haynesville Correctional Center,137,0,1,453,7
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,1,15,0
Lawrenceville Correctional Center,0,0,1,100,12
Lunenburg Correctional Center,0,0,1,119,1
Marion Correctional Treatment Center,0,0,2,89,10
Nottoway Correctional Center (includes Nottoway Work Center),21,0,1,516,1
Patrick Henry Correctional Unit,0,0,0,59,2
Pocahontas State Correctional Center,7,0,3,229,4
Red Onion State Prison,7,0,0,36,6
River North Correctional Center,0,0,0,2,8
Rustburg Correctional Unit,1,0,0,1,5
St. Brides Correctional Center,36,0,0,458,9
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,7,3,8,493,10
Sussex I State Prison,0,1,0,178,10
Sussex II State Prison,35,2,1,182,13
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,4
Wallens Ridge State Prison,0,0,0,1,2
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,7
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,5
Administration & Operations,n/a,n/a,n/a,n/a,3
Totals,534,7,53,8335,250
