LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,29
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,6
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,35,0,4,643,11
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,3
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,3
Cold Springs CCAP,4,0,0,31,1
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,13
Dillwyn Correctional Center,57,1,2,405,12
Fluvanna Correctional Center for Women,55,0,0,414,12
Green Rock Correctional Center,0,0,0,102,5
Greensville Correctional Center (includes Greensville Work Center),2,0,2,699,29
Halifax Correctional Unit,127,0,0,131,14
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,136,0,1,449,9
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,1,15,2
Lawrenceville Correctional Center,1,0,1,100,9
Lunenburg Correctional Center,8,0,1,119,3
Marion Correctional Treatment Center,1,0,2,89,11
Nottoway Correctional Center (includes Nottoway Work Center),25,1,1,515,19
Patrick Henry Correctional Unit,0,0,0,59,1
Pocahontas State Correctional Center,3,0,3,224,4
Red Onion State Prison,3,1,0,30,4
River North Correctional Center,0,0,0,2,4
Rustburg Correctional Unit,0,0,0,0,4
St. Brides Correctional Center,0,0,0,422,8
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,6,2,8,491,30
Sussex I State Prison,1,0,0,178,11
Sussex II State Prison,31,2,1,178,11
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,4
Wallens Ridge State Prison,0,0,0,1,5
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,6
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,10
Administration & Operations,n/a,n/a,n/a,n/a,4
Totals,495,7,53,8164,302
