LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,5
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,5
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,0,4,648,2
Caroline Correctional Unit,0,0,0,6,1
Central Virginia Correctional Unit #13,1,0,0,58,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,2
Cold Springs CCAP,0,0,0,31,0
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,5
Dillwyn Correctional Center,52,0,2,566,1
Fluvanna Correctional Center for Women,11,0,0,652,2
Green Rock Correctional Center,3,0,0,233,3
Greensville Correctional Center (includes Greensville Work Center),0,0,2,716,17
Halifax Correctional Unit,0,0,0,130,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,480,1
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,19,1,0,104,4
Keen Mountain Correctional Center,0,0,1,15,2
Lawrenceville Correctional Center,0,0,1,101,2
Lunenburg Correctional Center,0,0,1,119,1
Marion Correctional Treatment Center,0,0,2,89,0
Nottoway Correctional Center (includes Nottoway Work Center),1,1,1,533,0
Patrick Henry Correctional Unit,0,0,0,60,0
Pocahontas State Correctional Center,1,1,3,245,1
Red Onion State Prison,0,0,0,61,1
River North Correctional Center,0,0,0,2,5
Rustburg Correctional Unit,0,0,0,29,1
St. Brides Correctional Center,0,0,0,459,1
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,0,0,10,493,2
Sussex I State Prison,0,0,0,178,1
Sussex II State Prison,0,0,1,185,0
Virginia Correctional Center for Women (includes State Farm Work Center),1,0,1,72,2
Wallens Ridge State Prison,0,0,0,20,1
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,1
Administration & Operations,n/a,n/a,n/a,n/a,1
Totals,89,3,55,8988,73
