LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men's CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,27
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,6
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,11,0,4,644,11
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,3
Chesterfield Women's CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,3
Cold Springs CCAP,0,0,0,31,1
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,13
Dillwyn Correctional Center,54,1,2,405,12
Fluvanna Correctional Center for Women,93,0,0,452,13
Green Rock Correctional Center,0,0,0,102,6
Greensville Correctional Center (includes Greensville Work Center),1,0,2,699,31
Halifax Correctional Unit,121,0,0,131,10
Harrisonburg Men's CCAP,0,0,0,26,1
Haynesville Correctional Center,139,0,1,452,10
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,1,15,0
Lawrenceville Correctional Center,0,0,1,100,11
Lunenburg Correctional Center,8,0,1,119,4
Marion Correctional Treatment Center,0,0,2,89,10
Nottoway Correctional Center (includes Nottoway Work Center),19,1,1,516,20
Patrick Henry Correctional Unit,0,0,0,59,2
Pocahontas State Correctional Center,3,0,3,225,4
Red Onion State Prison,3,0,0,30,4
River North Correctional Center,0,0,0,2,7
Rustburg Correctional Unit,1,0,0,1,6
St. Brides Correctional Center,36,0,0,458,8
Stafford Men's CCAP,0,0,0,8,0
State Farm Correctional Complex,7,3,8,492,26
Sussex I State Prison,1,0,0,178,12
Sussex II State Prison,35,2,1,182,11
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,4
Wallens Ridge State Prison,0,0,0,1,5
Wise Correctional Unit,0,0,0,24,0
Probation & Parole - Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole - Central Region,n/a,n/a,n/a,n/a,6
Probation & Parole - Western Region,n/a,n/a,n/a,n/a,11
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,532,7,53,8250,305
