LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,35,0,0,50,6
Augusta Correctional Center,375,7,1,414,69
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,36,0,0,185,10
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,166,1,4,545,11
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,33,0,1,674,11
Cold Springs CCAP,9,0,0,9,3
Cold Springs Correctional Unit #10,54,1,0,64,5
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,5
Dillwyn Correctional Center,1,0,2,350,1
Fluvanna Correctional Center for Women,134,0,0,331,39
Green Rock Correctional Center,0,0,0,102,4
Greensville Correctional Center (includes Greensville Work Center),1,0,2,697,12
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,58,0,1,314,5
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,3
Keen Mountain Correctional Center,0,0,0,14,4
Lawrenceville Correctional Center,3,0,1,98,0
Lunenburg Correctional Center,67,0,0,71,2
Marion Correctional Treatment Center,10,1,0,13,10
Nottoway Correctional Center (includes Nottoway Work Center),213,1,0,427,24
Patrick Henry Correctional Unit,16,0,0,16,0
Pocahontas State Correctional Center,172,0,2,206,23
Red Onion State Prison,1,0,0,25,12
River North Correctional Center,0,0,0,2,2
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,377,2
Stafford Men’s CCAP,3,0,0,8,7
State Farm Correctional Complex,148,3,4,381,37
Sussex I State Prison,13,1,0,175,12
Sussex II State Prison,2,0,1,76,2
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,2
Wallens Ridge State Prison,0,0,0,1,9
Wise Correctional Unit,0,0,0,24,2
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,8
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,1552,15,39,6926,351
