LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,33,0,0,50,7
Augusta Correctional Center,112,9,4,446,58
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,12,0,0,185,14
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,172,0,4,555,15
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,2,0,1,674,6
Cold Springs CCAP,18,0,0,20,3
Cold Springs Correctional Unit #10,25,0,0,64,5
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,4
Dillwyn Correctional Center,0,0,2,350,2
Fluvanna Correctional Center for Women,89,0,0,356,44
Green Rock Correctional Center,0,0,0,102,5
Greensville Correctional Center (includes Greensville Work Center),1,0,2,697,18
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,59,0,1,315,5
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,3
Keen Mountain Correctional Center,1,1,0,15,2
Lawrenceville Correctional Center,3,0,1,98,1
Lunenburg Correctional Center,64,1,0,71,2
Marion Correctional Treatment Center,13,2,0,17,14
Nottoway Correctional Center (includes Nottoway Work Center),214,0,1,429,31
Patrick Henry Correctional Unit,36,0,0,36,2
Pocahontas State Correctional Center,26,1,3,213,16
Red Onion State Prison,1,0,0,25,23
River North Correctional Center,0,0,0,2,3
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,36,0,0,413,0
Stafford Men’s CCAP,0,0,0,8,4
State Farm Correctional Complex,146,7,5,385,38
Sussex I State Prison,14,1,0,176,15
Sussex II State Prison,2,0,1,76,2
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,1
Wallens Ridge State Prison,0,0,0,1,11
Wise Correctional Unit,0,0,0,24,1
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,5
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,1081,22,45,7080,371
