LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,32,0,0,33,3
Augusta Correctional Center,299,3,1,332,64
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,40,0,0,176,17
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,66,1,4,403,10
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,82,0,1,672,11
Cold Springs CCAP,5,0,0,6,4
Cold Springs Correctional Unit #10,49,1,0,54,10
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,8
Dillwyn Correctional Center,1,0,2,350,0
Fluvanna Correctional Center for Women,116,0,0,300,30
Green Rock Correctional Center,0,0,0,102,7
Greensville Correctional Center (includes Greensville Work Center),6,0,2,696,10
Halifax Correctional Unit,0,0,0,0,3
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,51,1,1,308,8
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,5
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,32,0,0,36,2
Marion Correctional Treatment Center,0,0,0,2,6
Nottoway Correctional Center (includes Nottoway Work Center),213,1,0,427,14
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,190,0,2,198,22
Red Onion State Prison,4,0,0,24,5
River North Correctional Center,0,0,0,2,7
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,36,0,0,377,2
Stafford Men’s CCAP,6,0,0,8,8
State Farm Correctional Complex,117,8,3,353,26
Sussex I State Prison,1,0,0,162,8
Sussex II State Prison,0,0,1,74,2
Virginia Correctional Center for Women (includes State Farm Work Center),1,0,1,47,6
Wallens Ridge State Prison,0,0,0,1,7
Wise Correctional Unit,0,0,0,24,2
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,7
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,1349,15,38,6504,323
