LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men's CCAP,0,0,0,50,1
Augusta Correctional Center,0,0,5,585,2
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,6,0,0,191,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,0,4,648,3
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,58,0
Chesterfield Women's CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,0,0,0,31,0
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,3
Dillwyn Correctional Center,0,0,2,566,0
Fluvanna Correctional Center for Women,0,0,0,652,0
Green Rock Correctional Center,0,0,0,233,0
Greensville Correctional Center (includes Greensville Work Center),5,0,2,721,3
Halifax Correctional Unit,0,0,0,130,0
Harrisonburg Men's CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,480,0
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,1,0,104,0
Keen Mountain Correctional Center,0,0,1,15,1
Lawrenceville Correctional Center,0,0,1,101,0
Lunenburg Correctional Center,0,0,1,119,0
Marion Correctional Treatment Center,0,0,2,89,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,2,539,0
Patrick Henry Correctional Unit,0,0,0,60,0
Pocahontas State Correctional Center,0,1,3,245,1
Red Onion State Prison,0,0,0,61,1
River North Correctional Center,0,0,0,2,3
Rustburg Correctional Unit,0,0,0,29,0
St. Brides Correctional Center,0,0,0,459,1
Stafford Men's CCAP,0,0,0,8,0
State Farm Correctional Complex,0,0,10,493,0
Sussex I State Prison,0,0,0,178,0
Sussex II State Prison,0,0,1,185,4
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,72,0
Wallens Ridge State Prison,0,0,0,20,1
Wise Correctional Unit,0,0,0,24,0
Probation & Parole - Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole - Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole - Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,11,2,56,9005,27
