LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,18,0,0,50,6
Augusta Correctional Center,107,10,4,456,64
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,9,0,0,185,14
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,207,0,4,598,16
Caroline Correctional Unit,1,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,2,0,1,674,5
Cold Springs CCAP,17,0,0,23,3
Cold Springs Correctional Unit #10,11,0,0,64,4
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,5
Dillwyn Correctional Center,0,0,2,350,3
Fluvanna Correctional Center for Women,72,0,0,356,36
Green Rock Correctional Center,0,0,0,102,3
Greensville Correctional Center (includes Greensville Work Center),1,0,2,697,17
Halifax Correctional Unit,0,0,0,0,1
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,59,0,1,315,6
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,1,0,15,4
Lawrenceville Correctional Center,3,0,1,98,1
Lunenburg Correctional Center,3,1,0,74,3
Marion Correctional Treatment Center,59,2,1,65,23
Nottoway Correctional Center (includes Nottoway Work Center),214,0,1,429,23
Patrick Henry Correctional Unit,38,0,0,38,3
Pocahontas State Correctional Center,21,1,3,216,14
Red Onion State Prison,1,0,0,25,22
River North Correctional Center,0,0,0,2,2
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,36,0,0,413,2
Stafford Men’s CCAP,0,0,0,8,2
State Farm Correctional Complex,114,6,5,475,42
Sussex I State Prison,14,1,0,177,15
Sussex II State Prison,2,0,1,76,4
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,2
Wallens Ridge State Prison,0,0,0,1,14
Wise Correctional Unit,0,0,0,24,1
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,3
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,6
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,1009,22,46,7283,379
