LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,6
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,2
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,4,0,4,648,4
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,4
Cold Springs CCAP,0,0,0,31,0
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,5
Dillwyn Correctional Center,106,2,2,514,10
Fluvanna Correctional Center for Women,144,1,0,633,7
Green Rock Correctional Center,90,0,0,192,5
Greensville Correctional Center (includes Greensville Work Center),16,0,2,715,29
Halifax Correctional Unit,0,0,0,130,0
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,96,0,1,472,1
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,3,0,0,57,6
Keen Mountain Correctional Center,0,0,1,15,1
Lawrenceville Correctional Center,1,0,1,101,6
Lunenburg Correctional Center,0,0,1,119,0
Marion Correctional Treatment Center,0,0,2,89,1
Nottoway Correctional Center (includes Nottoway Work Center),11,0,1,526,1
Patrick Henry Correctional Unit,0,0,0,59,2
Pocahontas State Correctional Center,12,0,3,238,3
Red Onion State Prison,25,0,0,61,5
River North Correctional Center,0,0,0,2,3
Rustburg Correctional Unit,25,0,0,26,6
St. Brides Correctional Center,0,0,0,458,1
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,0,2,9,493,12
Sussex I State Prison,0,0,0,178,3
Sussex II State Prison,1,1,1,183,6
Virginia Correctional Center for Women (includes State Farm Work Center),11,0,1,68,2
Wallens Ridge State Prison,19,0,0,20,2
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,3
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,6
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,1
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,564,6,54,8794,147
