LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,3,0,0,3,0
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,42,2,0,60,31
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,69,0,4,295,3
Caroline Correctional Unit,3,0,0,3,2
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,139,1,1,590,31
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,3
Dillwyn Correctional Center,0,0,2,349,0
Fluvanna Correctional Center for Women,6,0,0,180,3
Green Rock Correctional Center,0,0,0,102,0
Greensville Correctional Center (includes Greensville Work Center),0,0,2,690,7
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,3
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,0
Keen Mountain Correctional Center,0,0,0,14,1
Lawrenceville Correctional Center,0,0,1,95,1
Lunenburg Correctional Center,0,0,0,3,2
Marion Correctional Treatment Center,0,0,0,2,4
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,4
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,8
Red Onion State Prison,0,0,0,20,6
River North Correctional Center,2,0,0,2,2
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,24,1,0,339,0
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,5,3,2,181,17
Sussex I State Prison,0,0,0,161,0
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,1,0,0,1,5
Wise Correctional Unit,0,0,0,16,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,3
Administration & Operations,n/a,n/a,n/a,n/a,1
Totals,294,7,34,4706,149
